Title,Location,Company,Salary,Sponsored,Description
Business Intelligence Analyst,"Toronto, ON",Figure 1,None,Organic,"Figure 1 Overview

Figure 1’s mission is to democratize medical knowledge and improve the future of healthcare. Our platform is valued by healthcare professionals and leading institutions worldwide, and trusted on a daily basis by our community as a quick, easy, and secure way to share and consume medical knowledge.

At Figure 1, we will work hard to understand our users and the value our product offers them. We will constantly seek their feedback in order to continue to provide the most innovative, easy-to-use platform that helps them sharpen their skills and improve the lives of their patients.

“It is impossible to know everything in medicine. But with Figure 1’s knowledge-sharing platform, it’s easy for healthcare professionals to come close.”

Core Company Values

At Figure 1, we work as a team and individually to:

Look out for one another in order to help lift up the skills and capabilities of our colleagues
Set a good example and constantly strive to positively influence others
Always be learning, and share what you learn
Prioritize the business and celebrate successes as a team

Job Title: Business Intelligence Analyst
Reports To: VP, Marketing

Job Description:
Help shape the future of our analytics and data infrastructure.
Take multiple disparate sets of data and provide the organization with valuable insights that will inform and drive product, marketing, and business decisions.
Refine what we measure, how we interpret, and use that data to drive organizational change.
Using 3rd party tools, transform raw data into meaningful insights informed by best practices in data governance and analytical techniques.
Work with individual teams to enhance their use of data to improve efficiencies and you'll continually teach what you learn to others.

Must Have Skills:
5+ years of working experience navigating relational databases via SQL, NoSQL architectures, and flat log files alike
Ability to write complex SQL queries, highly proficient in concepts like subqueries, temp tables, and window functions
Experience merging data from different sources to come up with unified models
A track record of successfully navigating messy database schemas to produce analytics that drives organizational change, including multi-touch attribution models, cohort analysis, slice & dice techniques, segmentation, etc.
Expert knowledge in digital metrics, dimensions, and KPIs - drive consistency in how metrics are defined, pulled and utilized
Expert knowledge of data visualization, with experience building BI dashboards in tools such as Tableau, Periscope Data, Mixpanel, or other similar platforms
Expert knowledge in Excel
Experience communicating complex analyses, data-heavy insights, and recommendations verbally and visually to the team at large with a simple, clear story
Experience working independently as an internal service provider to deliver results to multiple stakeholders, including the Product, Engineering, Marketing, and Business Development teams
Some experience with scripting languages such as Python is preferred

What We Offer:
Competitive salary, commensurate with experience
Extended healthcare benefits
Stock options
Opportunities for professional development
One-on-ones focused on mentorship
Supportive parental leave policy
The chance to help save lives and make the world a better place

Period of Employment: This is a full-time permanent role with a 3-month probationary period.

Job Location: Toronto

To Apply: To be considered, please submit a resume and cover letter at https://figure1.bamboohr.com/hiring/jobs/89

Figure 1 is a diverse, inclusive, open-minded workplace. Candidates who identify as minority are encouraged to apply. We welcome and encourage applications from people with disabilities, and accommodations are available on request for candidates taking part in all aspects of the selection process. All qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, gender identity, gender expression, or national origin."
Product Owner - Data and Business Intelligence,"Mississauga, ON",Robert Half,None,Organic,"Our client is one of the country's leading providers of health benefits management services and is looking for Product Owner for their Data Analytics and Reporting Solutions team.
Below are the details of the role: -
Duration - 4-5 Months +
Description -
Reporting directly to the Sr. Manager of Data Analytics, the Product Owner’s primary role will be to define and launch new Reporting Solutions
Product Owner will collaborate with cross-functional teams to define product solutions and will work closely with internal business users and external carriers to understand and articulate business requirements to define applicable product features.
This role involves developing a clear understanding of the end user reporting needs and prioritizing based on the development efforts.
The Product Owner will work closely with Delivery Manager and Data Engineering teams to plan and coordinate release cycles and product increments.
Experience working with databases and reporting platforms is a must.
Facilitate workshops and discussions with clients to understand reporting needs
Prioritize enhancements and defects in the backlog for implementation within a release cycle
Work with the Delivery Manager(s) and Data Engineering teams to plan and coordinate releases and ensure operational readiness
Provide guidance and direction to Business Analyst
Oversee and contribute to QA and testing processes
Support functional areas, in the maintenance and enhancement of existing products and provide business and product knowledge
Knowledge of the Pharmacy or Group Health Insurance (pharmacy, dental, other health) industry or adjudication systems
Knowledge of the various types of business intelligence, data and reporting products (e.g. multi-dimensional cubes, parameterized reports, dashboards, Tableau, Power BI, etc.)
Strong analytical skills ranging from problem identification through the proposal and implementation of potential solutions
Experience in data warehouse environments and/or denormalized data models
SQL skills are essential
Knowledge of programming concepts, design, procedures and practices
Strong communication skills, written and verbal
Able to demonstrate a range of collaborative methodologies and processes, preferably in an Agile environment
Strong knowledge of SDLC processes in relation to the Product Development Lifecycle (PDL)
Must have Enhanced Reliability Security Clearance or must be eligible to apply for it.
___________________________________________________________________________
To apply for this role email hiren.joshi@roberthalf.com or call 416-227-0581 EXT 61813

SQL - Structured Query Language
Business Intelligence (BI)
Product Owner
Knowledge of the various types of business intelligence, data and reporting products (e.g. multi-dimensional cubes, parameterized reports, dashboards, Tableau, Power BI, etc.)
Must have enhanced reliability security clearance or must be eligible to apply for it.
Technology doesn't change the world. People do.

As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person.

Leader among IT staffing agencies

The intersection of technology and people — it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call.

We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.

Apply for this job now or contact our branch office at 888.490.4429 to learn more about this position.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2020 Robert Half Technology. Numéro de permis du Québec AP-2000503.

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use ."
Business Intelligence Analyst,"Burlington, ON",Wolseley,None,Organic,"As the world’s number one distributor of heating, plumbing, industrial, and waterworks supplies, we know that talented people are essential to maintaining our success in the future.
Wolseley Canada provides an environment where employees can take their skills, talents, experience and interests to the next level to grow professionally and build rewarding careers.
Wolseley Canada offers many challenging and diverse career opportunities in our local branch networks and throughout our Regional and Corporate offices across Canada.
We are driven to achieve results, collaborate with each other to determine the best course of action, hold ourselves accountable at all times and demonstrate resilience when new challenges come our way.
Does this sound like you? Do you want to make a difference and grow your career? If so, then come join our talented and high performing team.

Position Overview
As a Business Intelligence Analyst you will own select projects and analytics with the ability to frame how to best approach such responsibilities and interacting directly with business partners at various levels throughout the organization to derive key business implications from analytics and research. The Business Intelligence Analyst must have critical thinking capabilities that can be used in data processing, advanced analytics, applied statistics, process optimization, and report prototyping and deployment. Proficient data extraction with the ability to synthesize information to see the big picture and summarizing analytics and research according to the audience. You will be responsible to help build out BI Technologies, a Business Intelligence Centre of Excellence, support colleagues throughout the entire organization and translate business questions into executable data driven analytics. You will contribute to the design, development and support of our databases and data marts. You will also contribute to transforming Wolseley Canada’s BI data to cloud solutions.
Key Accountabilities
Prototype, deploy and support revenue and customer-related analytics and executive dashboards
Support Business with guidance and consultancy in all matters relating to Business Intelligence, Analytics, and Reporting
Responsible for requirement analysis, design, development, and deployment of our business intelligence and analytical solutions
Understanding stake-holders business requirements and transforming the requirements into a meaningful representation using BI tools
Performing quality assurance testing and ensuring our solutions deliver business value to stakeholders
Automate manual processes
Serving as a Subject Matter Expert (SME) for BI related inquiries
Maintain all standard and customized reports using BI tools
Maintain technical and user documentation for BI solutions
Collaborate with team members to develop quality databases and datamarts for business use
Review, evaluate, develop and maintain business intelligence systems including: dimension and fact tables, validation tools and processes, user monitoring and security
Document data flow and design
Establishing and maintaining BI best practices and standards
Contribute to an engaging and fun atmosphere by being driven to see the end result of what the team is accomplishing"
Business Intelligence Analyst,"Winnipeg, MB",World Trade Centre Winnipeg,None,Organic,"Job Title: Business Intelligence Analyst
Salary: Based on experience
Full-time position
Summary of Role:
The Business Intelligence (BI) Analyst’s purpose is to support the WTC Winnipeg in maturing the organization’s use of data as it seeks to grow opportunities for Manitoba companies that are seeking to grow globally, producing measurement and meaningful economic impacts within the province and globally.
Working directly with the Director of Business Intelligence, the BI Analyst will support the identification of business challenges and outcomes where the use of data analytics will enhance existing or create new value. This may include the elicitation of stakeholder requirements, blueprinting and design of conceptual solutions, development of those solutions, and expansion of value from those solutions as new requirements and opportunities emerge.
This role will provide the successful candidate with the opportunity to further expand their skills and knowledge in business intelligence while working in a supportive environment as we work to bring economic success and resiliency to Manitoba and the entrepreneurial organizations that are born here.
The responsibilities of the successful candidate:
Planning Support
· Working with the Director of Business Intelligence, develop long-term strategic objectives for the use of data in fulfilling the purpose of the WTC Winnipeg. This includes working with stakeholders internally and externally to ensure the alignment of business outcomes with the to-be established data objectives.
· Supports the integration of initiative planning into the overall objectives of the WTC Winnipeg and provides tactical expertise on the implementation of BI-related initiatives.
· Supports the WTC Winnipeg in viewing data as an asset through the establishment of data governance fundamentals to support the identification, collection, and use of data within the WTC Winnipeg, ensuring data parity, integrity, and quality are preserved.
· Identifies new trends and technologies that may allow the WTC Winnipeg to expand the value created by data analytics.
Solution Operations
· Actively participates on projects and initiatives related to the implementation and sustainment of BI and data-related solutions.
· Design, code, test, and document all new or modified BI systems, applications, and programs. This will include various integrations to and from centralized data storage solutions.
· Based on inputs from stakeholders, develops and provides reports and insights from available data sources in a manner consumable by non-technical audiences.
· Assist in the design of databases and data warehouses to ensure interoperability with BI solutions and support the evolution of those solutions based on emerging business needs.
· Analyze user requirements and, based on findings, design functional specifications for BI front-end applications and reports, implementing those solutions fully.
· Supports the definition of ETL design guidelines to ensure a manageable ETL infrastructure for the BI system.
· Develops and applies testing methods to solutions, ensuring reliable performance and the accuracy of outputs.
· Design and deliver end-user training and training materials; provide technical support as necessary.
Necessary Knowledge, Skills and Abilities:
· College diploma or university degree in the field of computer science, information systems, or computer engineering.
· Formal education or professional development in business intelligence or data analytics would be desirable.
· Minimum of two (2) to five (5) years direct work experience in a data analytics or business intelligence role.
· Intermediate ability to develop SQL scripts and queries to enable the extraction and manipulation of data from multiple sources.
· Foundational understanding of .NET, Java, and/or Python would be considered a strong asset.
· Ability to analyze user requirements and build front-end BI applications according to specifications.
· Experience working with data warehouse analysis and design, with foundational knowledge of data warehouse methodologies and data modeling techniques.
· Experience working with cloud-based data analytic solutions based on the Microsoft Azure or Amazon Web Services platforms would be desirable.
· Familiarity with ETL toolsets would be desirable.
· Natural desire and ability to analyze, conceptualize, and develop technical solutions that support the resolution of business challenges.
· Driven curiosity to learn and expand knowledge of technical solutions and emerging trends which can add value to an entire organization and external stakeholders.
· Ability to take highly technical information and present it to non-technical audiences.
· Ability to self-direct work while also understanding when to ask for support.
· Experience working in a team-oriented, collaborative environment.
· Proficiency in both of Canada’s official languages is a job skill sought
Application deadline: 2020-11-23
Job Types: Full-time, Permanent
Benefits:
Company events
Dental care
Disability insurance
Extended health care
Life insurance
On-site parking
Paid time off
RRSP match
Vision care
Schedule:
8 hour shift
Language:
English (Required)
Français (Required)"
Business Intelligence Analyst,"Concord, ON",Aleafia Health,None,Organic,"Aleafia Health brings Canadians medical cannabis care through nationwide clinics, world-class cultivation and distribution facilities, and innovative research.
This Business Intelligence Analyst is an intellectually curious, collaborative BI professional that that has the ability to work on multiple ongoing projects with competing priorities. This role requires exceptional attention to detail, a results oriented and analytical mentality and the ability to collaborate with internal and external stakeholders to provide business intelligence and business analytics requests.
This position will support other locations and some inter-site travel will be required.
ESSENTIAL FUNCTIONS
Collaborating with various departments and personnel to provide innovative technology solutions to resolve growing intelligence and analytical needs. This includes understanding and analyzing business problems and working to solve those problems by addressing people, process and technology gaps.
Continue to build out an improve upon existing data warehouse, including creating additional data sources and integrations with existing systems.
Design, develop, test and support operational and financial reporting and/or dashboard solutions including implementation of Microsoft Power BI Visualizations.
Execute and deliver continuous improvement programs for all data management, business intelligence and business analytics processes.
Implement best practices and policies for data analysis, data modelling, and data management.
Translate business requirements into specifications that will be used to implement innovative solutions including required reports, dashboards and analysis.
Provide key business insights to drive business value in accordance with the Company's strategic objectives.
Utilize project management best practices when executing business projects and initiatives. Effectively manage project resources and be able to plan, execute, control and close projects against defined scope and budget.
ROLE REQUIREMENTS/ABILITIES
Experience / Education
Bachelor’s or Master’s degree in Computer Science, Information Systems, Business Administration or other related field
Strong understanding of ETL, data warehousing and big data principles
Expert user of Microsoft Power BI & DAX
Minimum 2 year’s experience working with databases and developing complex queries, stored procedures and functions using technologies such as SQL server
Skills & Abilities
Proven ability to work in a fast-paced and changing environment
Advanced level MS Word, Excel, PowerPoint
Deadline oriented with strong ability to multi-task
Superior communication skills (written & verbal)
Ability to work in a team and independently with competing priorities
Quick learner and well organized with superior attention to detail
Strong analytical and problem-solving skills
Ability to lead multiple priorities and meet tight deadlines
Working Environment
Busy office environment
Indoors
Verbal & written communication with people (internal & external)
Note: The chosen applicant will be required to successfully complete reference checks and a criminal background check.
We appreciate the interest by all candidates however we will be contacting those that best fit the requirements. If you are selected to participate in the recruitment process, please inform Human Resources of any accommodations you may require. Aleafia Health will work with you in an effort to ensure that you are able to fully participate in the process.
Reference ID: 1102
Job Type: Full-time
Benefits:
Casual dress
Dental care
Extended health care
On-site parking
Stock options
Vision care
Schedule:
8 hour shift
Monday to Friday
Experience:
Data Management: 3 years (Required)
SQL: 2 years (Required)
Education:
Bachelor's Degree (Required)
Location:
Concord, ON (Required)
Work remotely:
No"
"Advisor, Business Intelligence Data Acquisition and Analysis","Montréal, QC",Desjardins,None,Organic,"Desjardins Group is the largest cooperative financial group in Canada, and one of the largest employers in the country. It offers a full range of financial products and services and is home to a wealth of expertise in property and casualty insurance, life and health insurance, wealth management, services for businesses of all sizes, securities brokerage, asset management, venture capital, and secure, leading-edge virtual access methods.
Job Level
NV-09
Advisor, Business Intelligence Data Acquisition and Analysis, you help develop and use tools and methods to collect, compile, model and restore the organization’s physical and non-physical data to establish governance, help decisionmakers understand the big picture and inform decisions.

You advise and assist clients and partners as part of intervention and development initiatives. You recommend solutions to improve or optimize standards, policies and programs. Your projects and initiatives require extensive knowledge of your line of work.

You prepare recommendations, solutions and action plans based on the organization’s objectives and priorities. You help solve complex problems using your analytical skills and extensive knowledge of your line of business. Coordination is critical, so you frequently interact with stakeholders working in other fields. Interpersonal savvy is therefore essential.
Main responsibilities
Collect user needs in terms of metrics and indicators.
See to the development and enhancement of performance indicators.
Produce the documentation required for managing data.
Help design and model data to enhance the Operations Services Management Division's data warehouse.
Identify and resolve inconsistencies and/or issues related to dashboards.
Monitor and update performance indicators in line with established standards, controls and schedules.
Make sure users properly interpret the results.
Other working conditions
Number of job available : 1
Qualifications
Bachelor's degree in information technology, business intelligence, engineering, administration, mathematics and statistics, or a relevant field
At least 4 years of relevant experience with reporting tools (PowerBI, Cognos, Tableau or other) and in a business intelligence, strategic information, analysis or related environment
Master's degree in a relevant field (an asset)
Please note that other combinaisons of qualifications and relevant experience may be considered
For vacant positions available in Quebec, please note that knowledge of French is required
Specific knowledge
Skills in user interface (UI) development using PowerBI (an asset)
Desjardins Cross-sector skills
Action oriented, Collaborates, Customer Focus, Innovation
Key competencies for the job
Business insight, Ensures accountability, Innovation, Interpersonal Savvy, Strategic mindset
Work Location
1050, Côte du Beaver Hall Montréal
Trade Union
Non Syndiqué
Unposting Date
2020-11-24
Job Family
Administration (FG)"
Business Intelligence Analyst,"Edmonton, AB",Alberta Motor Association,None,Organic,"AMA:
YOU LIVE BY THE MOTTO: knowledge IS POWER.

Posted: 2020-09-02
Closing: Until Filled
Location: Edmonton South

Just like Indiana Jones, you love digging for information. You can whip up analytical reports faster than Indy can find himself in trouble. You have a knack for data and details and sharing what you’ve discovered in a way that makes it easy for people to understand. You’re fluent in Power BI and Highcharts and don’t need to reference Indy’s diary to help you make heads or tails of the information you discover. You work well with a broad group of people and communicate clearly every step of the way. We like that about you!

WHAT MOVES YOU
You know the key to building strong relationships is being a great listener.
You’re comfortable collaborating with people from all levels of the organization to accomplish common goals.
You have a knack for quickly understanding business unit goals and linking them to standardized analytical products that can be easily used across the organization.
You don’t need anyone to light a fire under you; you know what needs doing and get it done.
You’re a stickler for details and accuracy and have an uncanny ability to get your hands on the right information quickly.

WHAT YOU’LL DO
Report to the Manager, Business Intelligence.
Develop highly effective and visually pleasing analytical products such as marketing segmentations, churn analysis, member profiles, etc., in such a way that it’s easily consumed by the business.
Build BI reports in Power BI based around internal stakeholder needs.
Respond to internal, field and vendor requests for information regarding products.
Consult with stakeholders on options to modify or enhance analytical products; identify themes based on requests and raise them with management.
Design performance metrics, reporting formats and dashboards.
Ongoing development and enhancements of impactful dashboards, reports, and products to effectively enable insights and business decisions.
Develop in-depth knowledge and understanding of business strategy, financial goals, processes, and requirements across multiple business lines.
Determine requirements, define key performance indicators, and develop BI solutions to business problems by regularly communicating with executives, business and operational leaders, and subject matter experts.

WHAT YOU’VE DONE
You have a bachelor’s degree in computer science, information systems, business management, specialized training/certification, or equivalent work experience.
You’re no newbie. You have 5-7 years of Business Analysis or related technical experience – on this we must insist.
You’ll get bonus points if you have experience with Microsoft Power BI and/or Agile/Scrum.
You’re an expert when it comes to using data analysis technology and language (SQL, Python, DAX, SSRS, BI tools).
You can analyze and interpret data and do queries from multiple data sources (SQL< SQL Sparks) with one hand tied behind your back.

WHAT YOU'LL GET
Competitive salary.
Flexible benefits.
Outstanding employer-paid Pension Plan.
Great AMA discounts.
Unlimited learning opportunities.
Paid vacation and floater day.

We thank all applicants for their interest; however, only those selected for an interview will be contacted."
Business Intelligence Analyst - 18 Month Term,"Halifax, NS",Eastlink,None,Organic,"Powered by state-of-the-art fibre optic and wireless networks, Eastlink delivers world-class video entertainment and communications services to residential, business and public sector customers across Canada. As one of Canada’s Best Managed Companies for 11 consecutive years, Eastlink provides high speed Internet, wireless, TV, telephone, security and automation, data communications and exclusive, locally-produced programming. Headquartered in Halifax, Nova Scotia, Eastlink is the largest privately owned telecommunications Company in Canada with an employee base of just over 1500 individuals.

We’re currently seeking a Business Intelligence (BI) Analyst to join our BI & Data Analytics team. Reporting to our Manager, BI & Data Analytics, you will participate in Business Intelligence initiatives including the creation of data-driven solutions to deliver business insights, improve business intelligence and enable better decisions to drive growth.

What sets Eastlink apart?
Business Intelligence within the Telecommunications industry is unmatched by any other industry in terms of data and complexities.
You will be working with a locally owned and operated company that is constantly evolving and will provide the challenges and inspiration for someone who is truly passionate about developing their career in Business Intelligence.
What makes you an ideal candidate?

As the ideal candidate you have relevant post-secondary education coupled with professional experience focused in business intelligence and analytics. Self-driven, you are resourceful individual who is able to take initiative and has a thirst for knowledge. You are proficient in SQL and business intelligence tools such as Microsoft SQL Server (SSIS, SSRS, and SSAS). You have the ability to react quickly to changing conditions and requirements and can balance priorities effectively in a dynamic, results driven environment.

Eastlink is focused on creating an environment which promotes individual growth and career satisfaction. Creativity, entrepreneurial spirit and innovation drive us. We’re looking for people who have the passion for our business, our values and want to go above and beyond for our customers every day.

Dedicated to representing all of the customers we serve, we embrace diversity throughout all levels of the organization and encourage members of equity groups to self-identify during the application process.

If you’re ready to take on this exciting opportunity, please apply today."
Scrum Master – Business Intelligence Solutions – Members,"Montréal, QC",Desjardins,None,Organic,"Desjardins Group is the largest cooperative financial group in Canada, and one of the largest employers in the country. It offers a full range of financial products and services and is home to a wealth of expertise in property and casualty insurance, life and health insurance, wealth management, services for businesses of all sizes, securities brokerage, asset management, venture capital, and secure, leading-edge virtual access methods.
Job Level
NV-09
As Scrum Master, you will help carry out cross-sector projects to meet objectives on time and on budget. You will help the Scrum team implement and use the Agile approach on a daily basis for major projects. You will act as a custodian of respect for Agile values and principles. You will promote the engagement of the squad’s stakeholders to deliver projects as planned and foster the group’s self-organization. You will ensure that the barriers encountered are handled so as to protect the squad from disruptive external elements. As such, your ability to engage others will be an essential skill.

You will advise and coach dedicated clients and partners in connection with key intervention and development mandates in an Agile mode delivery context. Your projects and initiatives will require extensive knowledge of your line of work.

You will develop recommendations, solutions and action plans in line with the organization’s orientations and objectives. You will help the team solve complex problems that require analysis and in-depth understanding of the line of business. Coordination is critical, and you will interact with various stakeholders who work in complementary fields of expertise.
Main responsibilities
Help the Scrum team implement and use the Agile approach for major projects.
Assemble and assist the project’s Scrum team and facilitate meetings. Ensure that both the individuals responsible for the product/process and the project team understand and carry out their respective roles in a satisfactory manner.
Ensure that the Scrum team is functional, productive and well organized. Ensure efficient use of the Agile approach and tools, as well as compliance with Agile values. Establish and monitor performance indicators.
Ensure transparency on the status of work progress. Deal with and follow up on problems raised by the team.
Ensure the consistency of sprint backlog tasks with the commitments undertaken on the functionality of the product backlog.
Help the product owner maximize return on investment, meet objectives and manage the product backlog.
Handle quality control for the product backlog and various meetings (sprint planning meeting, maintenance and product backlog estimation sessions, and sprint review).
Other working conditions
Number of job available : 1
Qualifications
Bachelor’s degree in a related field
At least four years of relevant experience, including a minimum of one to two years as a scrum master for a squad
Experience with the continuous software development and rollout cycle (an asset)
Please note that other combinations of qualifications and relevant experience may be considered
Agile certification: PSM/CSM (an asset)
For vacant positions available in Quebec, please note that knowledge of French is required
Specific knowledge
Knowledge of Jira and Confluence (an asset)
Desjardins Cross-sector skills
Action oriented, Collaborates, Customer Focus, Innovation
Key competencies for the job
Communicates effectively, Engagement, Interpersonal Savvy
Work Location
Complexe Desjardins Montréal
Trade Union
Non Syndiqué
Unposting Date
2020-11-21
Job Family
Project management (FG)"
Senior Business Intelligence Analyst - Branded Content (Engl...,"Montréal, QC",CBC/Radio-Canada,None,Organic,"Job Family Revenue
Primary Location Montreal
Position Language Requirement Bilingual (English / French)
Language Skill Level (Reading) C
Language Skill Level (Writing) B
Language Skill Level (Speaking) C
Status of Employment Permanent
Work schedule(s) Full-time

Why work at CBC/Radio-Canada?
When you come to CBC/Radio-Canada, you’re not only joining the undisputed leader in expressing Canadian culture – you’re also participating in its digital revolution. Here, you’ll actively contribute to creating innovative projects on our major platforms and will find a stimulating, state-of-the-art and team-focused work environment.

What will your role be?

The Media Solutions Group at CBC/Radio-Canada is looking for a driven and passionate Senior Business Analyst responsible for performing multi-platform business analysis, with an emphasis on devising effective digital content solutions for advertising clients.
Reporting to the Managing Editor, Content Marketing (or Content Strategist – Media Creativity, if based in Montreal), you will be in charge of providing research, analytical support for branded content strategies, including but not limited to market research, field audits, benchmarking and best practices. You will also provide data that helps dictate revenue maximization strategies related to branded content and custom partnerships with advertisers. You will mine data insights from CBC editorial and sponsored content performance to inform content solution recommendations for advertising clients. You will support new business development efforts through different initiatives. You will analyze certain research streams and synthesize into clear, relevant results.

You will analyze the performance of content campaigns across all distribution channels (broadcast, digital, social,) and implement changes in the design of content marketing solutions and the media strategies to promote them to yield better performance of advertiser partnerships. You will establish performance KPIs and benchmarks for branded content and assess CBC’s campaigns against these, offering insights to help content perform better. You will collaborate with Content Marketing management to set the optimal pricing strategies. You will monitor and analyze the revenue associated with CBC branded content partnerships in collaboration with finance and provide estimates for future planning.

Please, note that under the current conditions we are working remotely, but in the context of this position, you can work from Montreal or Toronto, as soon as the situation is back to normal. Hence, this position is based either in Toronto or Montreal.

We are looking for a candidate with the following:
Post-secondary degree or diploma, and/or 4+ years equivalent data insights experience
Good understanding of digital content strategy and the digital advertising industry
Experience in editorial and content production, an asset
Initiative and strong attention to details, inquisitive and strong problem-solving skills
Ability to analyse data and turn it into actionable insights
Comfortable with innovation and change
Team player
Interested in working at a fast-paced, intellectually challenging work environment
Familiarity with content analytics software as Adobe, Amplitude, Chartbeat, Moat Content Analytics, an asset
Experience with MOAT, Social Media, Podcasting, GAM, Programmatic and Data Management Platforms (DMP) is an asset
Proficient using Microsoft Office products & Google Suite, and a high propensity to pick up new computer programs such as our in-house systems
Ability to create a variety of reports, analysis and recommendations and communicate them to various stakeholders including Sales, Marketing, Content, Ad Ops, Ad Tech, Digital Products and Communications
Ability to multitask and set priorities
Bilingualism (English and French), both spoken and written
Candidates may be subject to skills and knowledge testing.

If this sounds interesting, please click on ''Apply online''. We thank all applicants for their interest, but only candidates selected will be contacted.

CBC/Radio-Canada is committed to being a leader in reflecting our country’s diversity. That’s because we can only create and tell the stories that connect Canadians, by having a workforce that mirrors the ever-changing makeup of our country. That’s why we, as an employer, value equal opportunity and nurture an inclusive workplace where our individual differences are not only recognized and valued, but also extend to and pervade all the services we provide as Canada’s public broadcaster. For more information, visit the Diversity and Inclusion section of our website. If you have accommodation needs at this stage of the recruitment process, please inform us as soon as possible by sending an e-mail to recruitment@cbc.ca.
You are invited to consult and familiarize yourself with our Code of Conduct, which can be found on our corporate website. All employees must adhere to the Code as a condition of employment. We also invite you to take a look at our policy on conflicts of interest. In the event that you become an employee, it will be important to inform us, as quickly as possible, of any situation that, because of your hiring, constitutes or could appear to constitute a conflict of interest.
Wherever in the wording of the job description either gender is used, it shall be understood to include all genders.

Job Posting Date Nov 6, 2020, 4:36:45 PM
Unposting Date Nov 27, 2020, 10:59:00 PM"
