Title,Location,Company,Salary,Sponsored,Description
BHJOB15656_15470 - Data Engineer (Remote),"Ottawa, ON",Myticas Consulting,None,Organic,"The recruitment team at Myticas Consulting is looking for an experienced Data Engineer who would be interested in a remote contract opportunity offered within the Ottawa, ON region.
Security Clearance Required: Enhanced Reliability.
Project Scope:
IoT solution to ingest data from radio-spectrum analysis was built in Azure and needs to be migrated into AWS. This included some App migration, some containerization and some migration of R to Python.
Requirements:
AWS is critical.
Azure is a benefit.
Knowledge of R and Python.
Containerization are required.
Skills:
R
Python
Spark
SQL
Warehousing
Lakehouse
AWS Data Tools (EMR, Athena, Glue, S3)
AWS App Dev (S3, Lambda, Step Functions)
Docker
C++
Job is also known as: Data Engineer
INDMY"
Data Engineer,"Dorval, QC",Bombardier,None,Organic,"Data Engineer-MON16899

Description

BOMBARDIER

At Bombardier, our employees work together to evolve mobility worldwide - one good idea at a time. If you have a good idea, we’ll provide the environment where it will thrive and grow into a great product or customer experience. Your ideas are our fuel.

You will be part of the Aircraft Health Management System (AHMS) team and work with an emerging Digital Products team that is focused on one of the top priorities within the organization by introducing, implementing and sustaining Digital Products for Bombardier Aviation customers. You will work in close collaboration with cross functional teams and stakeholders across the organization such as Product Owners, User Experience UX/UI, Go-To-Market, Sales and Customer Support specialists. Join us and be an integral part of a dynamic and innovative team in one of the largest Business Aviation corporations.

In your role, you will:

Create and maintain optimal data pipeline architectures

Assemble large, complex data sets that meet functional / non-functional business requirements

Build the cloud-based infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources

Support the Aircraft Health Management System (AHMS) initiatives

Qualifications

As our ideal candidate,

You are able to troubleshoot issues quickly and effectively

You have experience working alongside and supporting multiple Agile development teams

You have experience building and optimizing complex data pipelines, architectures and data sets.

You are able to build processes supporting data transformation, data structures, metadata, dependency and workload management.

You have a successful history of manipulating, processing and extracting value from large disconnected datasets.

You have experience supporting and working with cross-functional teams in a dynamic environment.

We are looking for a candidate with 5+ years of experience in a Data Engineer or Data Science role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools:

Experience with relational SQL and NoSQL databases, for example Postgres and Oracle.

Experience with Timeseries data

Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc.

Experience with AWS cloud services: EC2, EMR, RDS, Redshift

Experience with data integration and surfacing via APIs

Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.

You have the ability to influence others

You have strong oral and written English communications skills and functional French communication skills are desired

Bombardier is an equal opportunity employer and encourages women, Aboriginal people, persons with disabilities and members of visible minorities to apply.

Whether your candidacy is moving on to the next step of the hiring process or not, we will keep you informed by email or by phone. Join us at careers.bombardier.com

Your ideas move people.

Job: Applications Specialists
Primary Location: CA-QC-Montreal Dorval
Organization: Aerospace
Schedule: Full-time
Employee Status: Regular

Job Posting: 13.10.2020, 1:23:12 PM

Unposting Date: Ongoing"
Data Engineer,"Montréal, QC",LANDR,None,Organic,"LANDR is looking for a Data Engineer to join our Analytics team!

In this role, you will work in a client project environment with Product, Architecture and Applied Science Teams to contribute to the translation of complex AI/data science algorithms into scalable software, respectively to the envisioned Architecture to develop direct Business Value for our Products.

Core duties are:
Help to evolve and scale our data platform, with an eye towards growth of our business and reliability of our data
Work closely with the product and engineering teams, as well as other stakeholders from finance, customer success, marketing to understand the data needs of the business and produce processes that enable a better product and support growth decision-making
Generate architecture recommendations and the ability to implement them
Responsible for data governance, setting up alerts, and performing extensive data QA and validation
Improve, manage, and teach standards for script/code maintainability and performance
Help evolve our analytics practice by leveraging new data sources with ETL automation jobs and pipelines


You are a great fit if you have:
You have at least 5 years+ of software/data engineering experience, at least 2 of which has been in a Data Engineer role using a mix of SQL, Python, etc.
You learn quickly, regardless of the languages and technologies used
You always strive to build the minimally viable product before over-engineering
You have experience building scalable data pipelines and powerful reporting tools
You are comfortable working with REST, SOAP, or GRAPH API
You love solving complex problems with logical, well-architected solutions
You are well-versed in data modelling and have experience building distributed systems
Clear communicator who can gather technical requirements and explain technical intricacies
Experience working with Amazon RedShift, Google Cloud Platform, and/or Snowflake a strong asset
Predictive modelling and machine learning experience is a plus

Our office is in the Mile-End startup district of Montreal, conveniently located within walking distance of the orange metro line, and boasts an incredible view spanning the downtown skyline all the way to Mount Royal. Our modern, open-air office concept is complete with an audio-powered stage for hosting music events as fun as our 5@7’s!

We love music. We love musicians. Our mission is to give music makers the freedom to create and be heard.

Our company culture is central to our success and makes for an incredible workplace! We work for musicians by bringing our love of music to the office every day and we are continuously innovating. We are all contributing to the culture we all belong to and we come together to move ideas forward.

Here are a few perks that we enjoy at LANDR:
Competitive compensation, based on your role, experience and expertise
Health insurance coverage
Flexible hours to balance with your personal life
Immediate access to a doctor via Dialogue.co with a family plan
A BIXI pass
Weekly 5@7, library, weekly fruit basket, bagel Monday once a month and more!
All inclusive Social Committee
Sporting and social activities
Your birthday is a free day
Great open offices in the middle of the Mile End, with many conference rooms available to work in teams or individually quietly
LANDR Band
Apple computers (or Windows, to your liking)
Partnerships with local music events & festivals (MUTEK, Pop Montreal, Igloofest…)

We accept people as they are and firmly believe diversity is essential to our success! If you’re applying to LANDR, it’s because you want to contribute to our amazing company and culture, and we’re thankful for that!

We work hard to create the best experience for our employees and we’d love for you to be a part of it!

At LANDR, we don’t just accept diversity — we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products, and our community. LANDR is striving every day to create a more diverse workplace, and we strongly encourage applications from people of colour, women, LGBTQ people, people of any religion, age, or belonging to any marginalized community."
BHJOB15656_15505 - Data Engineer (Cloud) (Remote),"Ottawa, ON",Myticas Consulting,None,Organic,"The recruitment team at Myticas Consulting is looking for an experienced Data Engineer who would be interested in a remote contract opportunity offered within the Ottawa, ON region.
Security Clearance Required: Enhanced Reliability.
Requirements:
Azure (est 7 Years)
SQL/NoSQL DB
Apache Spark
Power BI
Data Infrastructure in Cloud Experience
Azure Data Factory / DataBricks
Event Hub
Job is also known as: Data Engineer, Cloud Engineer
INDMY"
Sr Data Engineer,"Montréal, QC",Thales,None,Organic,"Location: Montreal, CanadaDans des marchés en rapide évolution, les clients travers le monde font confiance Thales. Thales est une entreprise où les personnes les plus brillantes du monde entier se regroupent pour mettre en commun leurs idées et ainsi s'inspirer mutuellement. Dans tous les secteurs où œuvre Thales, notamment laérospatiale, le transport, la défense, la sécurité et l'espace, nos équipes darchitectes conçoivent des solutions innovantes qui rendent demain possible dès aujourdhui.Carrefour mondial de lintelligence artificielle, Montréal est le foyer du nouveau centre de recherche et de technologie spécialisé en intelligence artificielle (cortAIx) collaborant avec les principaux groupes canadiens de recherche en intelligence artificielle Montréal et Toronto. Sappuyant sur ses compétences dans les principaux marchés industriels, Thales donne vie l'intelligence artificielle au profit de ses clients tout en créant de passionnants emplois pour les chercheurs et les développeurs experts en intelligence artificielle en vue de trouver des solutions qui transformeront notre monde, du fond des océans aux confins de l'univers et du cyberespace. Ayant très tôt opté pour le modèle dinnovation ouverte et collaborative, Thales procède actuellement la création de la structure du centre de recherche et de technologie spécialisé en intelligence artificielle (cortAIx). Piloté par Thales, le centre cortAIx, en collaboration avec l'Institut québécois d'intelligence artificielle (MILA), l'Institut de valorisation des données (IVADO) et lInstitut Vector de Toronto, est situé dans le célèbre quartier Petite-Italie, au cœur de la communauté de linnovation Montréal.In fast changing markets, customers worldwide rely on Thales. Thales is a business where brilliant people from all over the world come together to share ideas and inspire each other. In aerospace, transportation, defence, security and space, our architects design innovative solutions that make our tomorrow's possible.Montreal a world leading AI hub, is home to new Centre of Research & Technology in Artificial Intelligence eXpertise (cortAIx) collaborating with leading Canadian AI research groups in Montreal and Toronto. With competencies in major industrial markets Thales is bringing artificial intelligence to life for our customers creating exciting jobs for AI researchers and developers who will create solutions that will transform our world from the bottom of oceans to the depths of space and cyberspace. As an early adopter of open, creative and collaborative innovation model, Thales is building the Centre of Research and Technology in Artificial Intelligence eXpertise (cortAIx). Led by Thales, cortAIx, in collaboration with the MILA (Artificial Intelligence Institute of Quebec), the IVADO (Institute of Data Valorization) and the Vector Institute of Toronto, is located in Montreals famous Little Italy, in the heart of Montreals innovation community.

Guavus is a young and fast-growing company whose mission is to provide Communication Service Providers (CSPs) with a competitive advantage in the ability to accurately understand their mobile subscribers behaviors and extract value from this knowledge.

We are at pivotal point in our history where big data innovation can impact businesses and individuals in new and unforeseen ways, but we need exceptionally smart people to join our team who are:
Passionate about getting the job done,
Relentless about flawless execution,
Committed to solving problems creatively, and
Believe in the collective intelligence to design, build and engineer extraordinary products and solutions that are useful to all.
If this sounds like you, please reach out we would love to hear from you.

Guavus is looking for a highly motivated and talented Sr. Data Engineer to participate in the development of the most advanced solutions in the Big Data space by using agile methodologies. The developer will actively participate and collaborate with data team to design and implement data pipelines integrating advanced AI/ML models.

Key Responsibilities:
Develop and maintain batch and streaming data pipelines with big data technologies such as Spark, Kafka, Hive, HDFS, HBase, Phoenix, Impala etc.
Analyze and implement proof of concepts related to big data technologies
Analyze new technologies (DB, Storage, Compute Engines)
Produce quality code that is well documented
Participate in code reviews and mentoring
Required Skills:
Degree in Computer Science or Engineering
Five (5) years of experience in a data engineer position
Experience in Cloud and non-Cloud based Hadoop ecosystem
Experience in data warehousing and ETL development
Fluent in Java & with some Scala knowledge
Fluent in SQL
Experience in performant and highly scalable applications
Experience in distributed framework and technologies e.g. Columnar Database, NoSQL and Hadoop
Experience in Linux and shell scripting
Basic knowledge or interest in Python
Fluent in English, both written and spoken
Preferred Skills:
Speaking French is an asset
Guavus est une jeune entreprise croissance rapide dont la mission est de fournir aux fournisseurs de services de communication (CSP) un avantage concurrentiel dans la capacité comprendre avec précision les comportements de leurs abonnés mobiles et tirer de la valeur de ces connaissances.

Nous sommes un moment charnière de notre histoire où l'innovation du Big Data peut avoir un impact sur les entreprises et les individus de manière nouvelle et imprévue, mais nous avons besoin de personnes exceptionnellement intelligentes pour rejoindre notre équipe qui sont:
Passionné de faire le travail,
Implacable pour une exécution sans faille,
Engagé résoudre les problèmes de manière créative, et
Croyez en l'intelligence collective pour concevoir, construire et concevoir des produits et des solutions extraordinaires qui sont utiles tous
Si cela vous ressemble, veuillez nous contacter, nous serions ravis de vous entendre.

Guavus est la recherche d'un Sr. Data Engineer hautement motivé et talentueux pour participer au développement des solutions les plus avancées dans l'espace Big Data en utilisant des méthodologies agiles. Le développeur participera activement et collaborera avec l'équipe de données pour concevoir et mettre en œuvre des pipelines de données intégrant des modèles avancés d'IA / ML.

Principales responsabilités:
Développez et maintenez des pipelines de données par lots et en streaming avec des technologies Big Data telles que Spark, Kafka, Hive, HDFS, HBase, Phoenix, Impala, etc.
Analyser et mettre en œuvre la preuve de concepts liés aux technologies Big Data
Analyser les nouvelles technologies (base de données, stockage, moteurs de calcul)
Produire un code qualité bien documenté
Participer aux revues de code et au mentorat
Compétences requises:
Diplôme en informatique ou en génie
Cinq (5) ans d'expérience dans un poste d'ingénieur de données
Expérience dans l'écosystème Hadoop Cloud et non basé sur le Cloud
Expérience de l'entreposage de données et du développement ETL
Parle couramment Java et avec quelques connaissances Scala
Maîtrise du SQL
Expérience dans des applications performantes et hautement évolutives
Expérience dans le cadre et les technologies distribués, par ex. Base de données en colonnes, NoSQL et Hadoop
Expérience dans les scripts Linux et shell
Connaissances de base ou intérêt pour Python
Maîtrise de l'anglais, écrit et parlé
Compétences préférées:
Parler français est un atout
Chez Thales, nous proposons des CARRIÈRES passionnantes, pas de simples emplois. Fort de ses 80 000 collaborateurs dans 68 pays, Thales a mis en place une politique de mobilité permettant, chaque année, des milliers d'employés de faire progresser leur carrière tant dans leur domaine dexpertise que dans de nouveaux domaines de compétences, cela aussi bien dans leur pays dorigine qu l'étranger. Ensemble, nous pensons quadopter une politique de flexibilité est une manière plus actuelle de travailler. Cest ici que commence votre parcours exceptionnel, postulez sans tarder!At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!Thales sengage promouvoir un lieu de travail diversifié et inclusif pour tous. Thales sengage fournir des accommodements toute les étapes du processus de recrutement. Les candidats retenus pour une entrevue qui ont besoin daccommodement sont priés den informer la suite de linvitation pour une entrevue. Nous travaillerons avec vous pour répondre vos besoins. Toutes les informations relatives l'accommodement fourni seront traitées de manière confidentielle et utilisées uniquement dans le but de fournir une expérience de candidat accessible.Thales is committed to a diverse and inclusive workplace for all. Thales is committed to providing accommodations in all parts of the interview process. Applicants selected for an interview who require accommodation are asked to advise accordingly upon the invitation for an interview. We will work with you to meet your needs. All accommodation information provided will be treated as confidential and used only for the purpose of providing an accessible candidate experience."
Data Engineer,"Toronto, ON",Impressico Business Solutions,None,Organic,"*Data Engineer, Impressico Business Solutions, Canada*
Impressico Business Solutions, a leader in providing result-driven digital transformation consulting is looking for an experienced, innovative, and highly motivated Data Engineer for expanding and optimizing data and data pipeline architecture, as well as optimizing data flow. This is contract role based out in North York, Ontario.
Primary Responsibilities
Design, build and launch extremely efficient & reliable data pipelines to move data to our Data Warehouse/Data Mart.
Own end-to-end data quality for the data pipelines you build
Develop ETL routines to populate databases from multiple disparate data sources and create aggregates
Create and run data migrations across different servers and different databases including Enterprise CRM and ERP applications.
Perform complex data transformations, create/update stored procedures/functions, and optimize existing stored procedures/functions using indexing, temp tables, views, logic changes, etc.
Design/develop new systems and tools to enable stakeholders to consume and understand data faster
Data cleansing and manipulation using your expert SQL & programming skills
Troubleshoot data issues and present solutions to the issues
Prepare activity and progress reports regarding database & data health and status
Design and improve agile development processes as it applies to data and data structure design
Design, code and automate data quality checks, metrics, standards and guidelines
Work across multiple teams in high visibility roles and own the solution end-to-end
Requirements
BS or MS in Computer Science, Information Management, or related field
5+ years of experience as a Data Engineer.
Candidate must have a deep understanding of logical and physical data modeling for OLTP and OLAP systems.
Ability to translate a logical data model into a relational or non-relational solution as appropriate
Familiar with multiple relational platforms, recent MSSQL Server experience is required.
Hands-on expertise in database development using views, T-SQL, MSSQL and/or SQL scripts and SSIS packages and transformations. Experience building and troubleshooting SSAS cubes.
Fluent in using tools like SQL Server Management Studio or similar.
Recent experience in SQL tuning, indexing, partitioning, data access patterns and scaling strategies
Programming/Scripting experience in Windows (C#, PowerShell) as well as Unix/Linux environments (Python, Bash)
Job Types: Full-time, Contract
Experience:
Data Engineering: 6 years (Preferred)
Work remotely:
Yes, temporarily due to COVID-19"
Data Engineer Consultant,"Toronto, ON",Accenture,None,Organic,"ARE YOU READY to step up and take your technology expertise to the next level?

There is never a typical day at Accenture, but that’s why we love it here! This is an extraordinary chance to begin a rewarding career at Accenture Technology. Immersed in a digitally compassionate and innovation-led environment, here is where you can help top clients shift to the New using leading-edge technologies on the most ground-breaking projects imaginable.

Interested in building end-to-end marketing solutions for clients? Bring your talent and join Data which operates in the Interactive, Mobility and Analytics space. You will have opportunities to get involved in digital marketing, eCommerce and end-to-end mobility capabilities to help clients to improve productivity and more!

WORK YOU’LL DO
As a data engineer, you will be building and testing data integration solutions for our client’s advertising arm Spectrum Reach
Develop analytics-based solutions that produce quantitative and qualitative business insights
Work with partners as necessary to integrate systems and data quickly and effectively, regardless of technical challenges or business environments
In this fast-paced, agile environment you and your teammates will build, enhance, and test customized ETL solutions to enable and develop data products for internal clients and third parties

WHO WE´RE LOOKING FOR?
Minimum 5 years of experience as a Data Engineer developing in a Data Warehouse and integration environment
Must have Strong SQL and UNIX/shell scripting skills
Nice to have: Agile and Teradata Proficient
Understands Data Warehouse Fundamentals
Good knowledge with Github
Clear understanding of the SDLC
Experience/Understand of Agile Dev
Eligibility to travel to US (once per quarter for meetings)

Professional Skills Qualifications:
Proven success in contributing to a team-oriented environment.
Proven ability to work creatively in a problem-solving environment.
Desire to work in an information systems environment.
Demonstrated teamwork and collaboration in professional setting; either military or civilian.
WHAT´S IN IT FOR YOU?
Competitive benefits, including a fair and balanced parental leave policy.
Fantastic opportunities to develop your career across industries with local and global clients.
Performance achievement and career mentorship: our performance management process focuses on your strengths, progress and career possibilities.
Opportunities to get involved in corporate citizenship initiatives, from volunteering to charity work.


We are committed to employment equity. We encourage all people, including women, visible minorities, persons with disabilities and persons of aboriginal descent to apply.
To learn more about Accenture, and how you will be challenged and inspired from Day 1, please visit our website at accenture.ca/careers.
It is currently our objective to assign our people to work near where they live. However, given the nature of our business and our need to serve our clients, our employees must be available to travel when needed.
Accenture does not discriminate on the basis of race, religion, color, sex, age, non-disqualifying physical or mental disability, national origin, sexual orientation, gender identity or expression, or any other basis covered by local law. Accenture is committed to providing employment opportunities to current or former members of the armed forces.
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com."
Data Engineer,"Toronto, ON",Technical Standards & Safety Authority (TSSA),None,Organic,"Location
Office

City/Town
Toronto

Department Name
Information Services

Description
Since 1997, the Technical Standards and Safety Authority (TSSA) has delivered public safety services on behalf of the government of Ontario. With headquarters in west Toronto, the TSSA is a self-funded, not-for-profit organization that employs approximately 400 staff across Ontario. The roles within the TSSA are as diverse as the Province we serve. It takes all kinds of people with varied skillsets and backgrounds to meet our organizational goals, but our employees share a few key traits:
We are passionate about public safety.
We are highly skilled, problem-solvers.
We are collaborators who are invested in the communities we work in.
We are more than employees; we are serving the greater good.
We are committed to life-long learning and development.
We operate with the highest integrity.
TSSA provides our employees with competitive compensation, excellent benefits, and — most importantly — a sense of purpose. Our work is vital to the success and safety of the Province, and it’s our people who make it possible.

JOB PURPOSE
This individual supports TSSA Data and Business Intelligence team.

JOB RESPONSIBILITIES
Prepare and maintain data for extraction, transformation, and loading of data from a wide variety of data sources ensuring necessary mechanisms to guarantee data quality, and to support analytics initiatives.
Create effective ETLs/ELTs to move large volumes of data from various operational systems to dimensional data models.
Develop data pipelines leveraging various services on Azure and local data quality for data flows into the enterprise data warehouse .
Execute various aspects of data manipulation such as data profiling, data standardization / validation / cleansing, root cause analysis / remediation, data quality business rules technical specification and implementation, data quality measurement and reporting, metadata management, reference and master data management.
Ensure that the data sets provided to users are compliant with established governance and security policies.
Perform data quality assurance and testing according to risk assessment guidelines
Work closely with Data Manager on data modelling, consolidation and advanced data quality techniques and tools.
Execute data automation strategy by using innovative and modern tools, techniques and architectures to partially or completely automate the most-common, repeatable data preparation and integration tasks in order to minimize manual processes.
Ensure all automated processes preserve data integrity by managing the alignment of data availability and integration processes

JOB REQUIREMENTS
Experience in Data Integration, ETL, Reporting, ESB, Data Warehousing, Data Migration.
Minimum 6 years of hands-on experience working in data operations, out of which minimum 3 + years of experience in MDM solutions, preferably in complex and diverse systems environment.
Hands-on experience an enterprise data quality management tool, data integration or MDM tool. (Atacama, Talend, Calibra, etc)
Experience in data integration platforms and application integration.
Strong skills in logical/conceptual data modeling.
Strong skills in SQL, at least two relational database systems.
Knowledge of data governance concepts
Hands-on experience in Unix shell commands, XML, SOAP / REST / JSON, and application servers.
Skills in Java, Spark, and Databricks.
Experience working with BI tools and technologies (Power BI, Java, etc)
Experience with Cloud Services.
Knowledge of two or more scripting/programming languages (e.g., R, Python, VBA).
CRITICAL VALUES AND ATTRIBUTES
Strategic Leadership
Analytical Thinking/Data Integrity
Business Innovation
Financial Management
Adaptability/Change Management
Customer Focus
Teamwork
Communication
Ethics & Compliance

ORGANIZATIONAL STRUCTURE
Position reports to the Manager of Data and BI
Position has #/no direct reports

LOCATION
345 Carlingview Dr., Toronto, ON

Equity Statement

At TSSA, we value the diversity in our workplace and we are committed to employment equity. We encourage all qualified persons to apply. Only those selected for an interview will be contacted."
Principal Data Engineer,"Toronto, ON",Nomis Solutions,None,Organic,"Data Architect / Principal Data Engineer

We are seeking a talented Data Architect / Principal Data Engineer with a strong technical background and experience with fast paced technology startups.

Who We Are & What We Build

We partner with Banks and FinTechs on their journey to best-in-class pricing technology and analytics so that they deliver more value to their customers, employees and shareholders. Our top-notch people, proven technology, and innovative analytics are tackling big data challenges at banks and lenders every day. We deliver market-leading cloud-based Pricing & Profitability Management solutions and insights for the Banking & Financial Services industry leveraging cutting-edge behavioral data science. We are a Blue Chip venture-backed company with the vision to transform the consumer banking landscape.

Who You Are

Nomis is developing a highly scalable, super-efficient, big data platform that feeds our predictive analytics and software products. You are an ideal candidate if you have hands-on experience implementing data management frameworks that power analytical applications using relational, unstructured AND big data technologies.

Job Responsibilities:

Design, develop, and maintain highly scalable infrastructure for data pipelines to ingest data from external sources, store in data stores that are scalable, secured, and accessible by other services in the organization
Work in a cross-functional team of software architects, modeling scientists, project managers and other key stake holders to drive overall architecture.
Work with professional services to operationalize this data platform for various customer implementations.
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance metrics

Qualifications:

Extensive experience in software development, serverless architecture, and design-driven development
Experience building and optimizing ‘big data’ data pipelines, architectures, and data sets
Experience building processes supporting data transformation, data structures, metadata, dependency and workload management
Experience with AWS cloud services: Lambda, EC2, EMR, RDS, Redshift, S3
Experience with big data tools: Hadoop, HIVE / PIG, Spark, etc.
Experience with relational SQL and NoSQL databases, including Postgres and Mongo.
Experience with data pipeline and workflow management tools such as Airflow

Experience:

10+ years of experience in Data Architecture
4+ years of experience in Big Data Architecture
4+ years of experience on AWS
Strong background in relational databases
Strong background in MapReduce/Hadoop frameworks
Experience in ETL frameworks
Expertise in job scheduling (custom and open source), data quality, metadata management and monitoring systems
Experience handling retail bank/financial institution data a plus
BS in computer science, or other related discipline"
Senior Data Engineer,"Toronto, ON",Coursera,None,Organic,"Coursera is a leading online learning platform for higher education, where 71 million learners from around the world come to learn skills of the future. More than 200 of the world’s top universities and industry educators partner with Coursera to offer courses, Specializations, certificates, and degree programs. Thousands of companies trust the company’s enterprise platform Coursera for Business to transform their talent. Coursera for Government equips government employees and citizens with in-demand skills to build a competitive workforce. Coursera for Campus empowers any university to offer high-quality, job-relevant online education to students, alumni, faculty, and staff. Coursera is backed by leading investors that include Kleiner Perkins, New Enterprise Associates, Learn Capital, and SEEK Group.

Data Engineering is unique at Coursera. Our team doesn’t simply build reports on demand. Rather, we build the semantic infrastructure and products that empower our internal and external customers with the data to innovate and perform their jobs better.

We’re looking for a talented and driven senior data engineer with a keen eye for data and business to help us build and scale our platform. Our ideal candidate is an independent, analytically-minded individual with strong data modeling and software engineering skills, who shares our passion for education. In this role, you’ll directly work with cross-functional teams(product, engineering, services) to design, develop, and deploy data solutions for our enterprise learners and admins.
Your responsibilities:
Architect scalable data models and build efficient and reliable ETL pipelines to bring the data into our core data lake
Design, build, and launch visualization and self-serve analytics products that empower our internal and external customers with flexible insights
Build data expertise, and partner with data scientists and product engineers to define and standardize business rules and maintain high-fidelity data
Partner with other engineers in the development of new tools to enable our customers to understand and access data more efficiently
Work cross-functionally (eg: product managers, engineers, business teams) to support new product and feature launches
Your skills:
5+ years experience in a data-related field, including data engineering, data warehousing, business intelligence, data visualization, and/or data science
Strong software engineering skills and at least one scripting language (e.g., Python)
Proficient with relational databases and SQL
Familiarity and experience with big data technologies (eg: Hive, Spark, Presto) preferred
Ability to communicate technical concepts clearly and concisely
Independence and passion for innovation and learning new technologies
If this opportunity interest you, you might like these courses on Coursera -
Big Data Specialization
Big Data Essentials - HDFS, MapReduce and Spark
Data Warehousing for Business Intelligence
Coursera is an Equal Employment Opportunity Employer and considers all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, age, marital status, national origin, protected veteran status, disability, or any other legally protected class.

If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, please contact us at accommodations@coursera.org.

Please review our CCPA Applicant Notice here."
