Title,Location,Company,Salary,Sponsored,Description
"Sr. Manager, Social Media Analytics & Engagement, Tim Horton...","Toronto, ON",Restaurant Brands International,None,Organic,"Tim Hortons is looking for a passionate, driven and insightful social media expert who can help us dig into results and provide us with actionable business recommendations. From social listening to content reporting to creative insights, the chosen candidate will have a significant impact on the direction of Tim Hortons' Digital and Social strategy. The role reports into the Lead, Digital and Social.
Responsibilities:
Develop social listening reports to track campaign progress and better help internal stakeholders drive business decisions.
Provide regular content and campaign reports, tracking performance against established benchmarks and KPIs.
Uncover consumer insights to help guide creative strategy and content development.
Monitor and report on brand mentions and overall brand sentiment.
Monitor industry, pop culture and social conversations to inform community management opportunities.
Help to identify guest challenges and influencer engagement opportunities.
Develop and foster relationships with contacts at major platforms to stay informed on new analytical tools and trends.
Manage social media platforms and partnerships, asserting brand needs from various platforms (ex: Brandwatch and Socialbakers).
Requirements:
4+ years working in digital or social media, with a focus on reporting and insight generation
Strong experience performing social media listening for brands or digital campaigns.
A keen understanding of platforms and analytical tools, including Brandwatch/Crimson Hexagon, SocialBakers, and Sprinklr.
Understanding of content performance metrics and how they guide the creative process.
Experience creating concise social/digital reports for colleagues and business leaders.
Strong understanding of digital/social culture and trends.
Photography and graphic design skills are not required but may be an asset.
French is not required but is an asset
Restaurant Brands International and all of its affiliated companies (collectively, RBI) are equal opportunity and affirmative action employers that do not discriminate on the basis of race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or veteran status, or any other characteristic protected by local, state, provincial or federal laws, rules, or regulations. RBI's policy applies to all terms and conditions of employment. Accommodation is available for applicants with disabilities upon request."
"Manager, Cloud and Data Analytics Consulting","Mississauga, ON",BDO,None,Organic,"Your opportunity:
BDO Canada is currently seeking a Manager, Cloud and Data Analytics Consulting to join our GTA Technology Consulting team and own the following responsibilities:

Growth:
Business development including building new client relationships, growing existing relationships and participating in pre-sales client presentations
Development of SOWs, POCs, pricing and proposals, as well as authoring whitepapers/articles etc. to help build our brand
Assisting in the development and implementation of new service offerings
Engagements:
Providing architecture and design guidance and managing project teams on multiple client engagements in diverse technology areas including cloud enablement, cloud infrastructure build, cloud migrations and cloud data analytics projects
Performing technical architecture, design and managing deliverables
Working closely with leaders across all of BDO’s technology service lines to deliver on engagements
Acting as a customer escalation contact as required and providing management and guidance related to the resolution of customer satisfaction concerns
Building deeper relationships with clients and assisting in expanding the engagement footprint when the opportunity presents itself
Talent:
Managing the team and ensuring that team members are effectively utilized
On-going mentoring and coaching of the team including performance management
Ensuring our professionals have the skills, experience and capacity required to deliver our service offerings
Fostering a sense of purpose within the team; developing short and long-term objectives aligned with driving behaviours supporting our core values, mission and vision.
Interviewing and hiring new talent as the team grows

How do we define success for your role?
You demonstrate BDO's core values through all aspect of your work: Integrity, Respect and Collaboration
You understand your client’s industry, challenges, and opportunities; clients describe you as positive, professional, and delivering high quality work
You identify, recommend, and are focused on effective service delivery to your clients
You share in an inclusive and engaging work environment that develops, retains and attracts talent
You actively participate in the adoption of digital tools and strategies to drive an innovative workplace
You grow your expertise through learning and professional development.

Your experience and education

Strong background and hands-on experience in Cloud technology (Azure or Google Cloud)
Strong background in data analytics and database development (Microsoft and/or Google technology stack experience is preferred)
Experience in the technology consulting field and working closely with clients
Business development/pre-sales experience
Experience leading engagement teams
Experience working with financial services/banking industry clients
Excellent customer-facing, communication and presentation skills
Excellent troubleshooting and problem solving skills
Excellent in multi-tasking and time management
Strategic planning and management expertise

Experience with other Microsoft based toolsets is a bonus and shared below for reference:
Data & Analytics
Collaboration
Digital transformation

Why BDO?

Our firm is committed to providing an environment where you can be successful in the following ways:
We enable you to engage with the firm's strategic plan, and be a key contributor to the success and growth of the firm.
We help you be the best professional you can be in our services, industries and markets.
Achieve your personal goals outside of the office and make an impact on your community.

Giving back, it adds up: Where company meets community. BDO is actively involved in our communities by supporting local charity initiatives. We support staff with local and national events where you will be given the opportunity to contribute to your community.

Total rewards that matter: We pay for performance with competitive total cash compensation that recognizes and rewards your contribution. We provide flexible benefits from day one, and a market leading personal time off policy. We are committed to supporting your overall wellness beyond working hours, and provide reimbursement for wellness initiatives that fit your lifestyle.

Everyone counts: We believe every employee should have the opportunity to participate and succeed. Through leadership by our Chief Inclusion and Diversity Officer, we are committed to a workplace culture of respect, inclusion, and diversity. We recognize and celebrate the valuable differences among each of us, including race, religious beliefs, physical or mental disabilities, age, place of origin, marital status, family status, gender or gender identity and sexual orientation. If you require accommodation to complete the application process, please contact us.
To explore other opportunities at BDO, check out our careers page.

#LI-MM1"
"Manager, Reporting and Analytics","Toronto, ON",Manulife,None,Organic,"Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive environment, we can help our customers achieve their dreams and aspirations.
Job Description
This position is accountable for organizing and analyzing a multitude of data sources to deliver meaningful, measurable and actionable insights and foresights for the Procurement Workforce Expenses Programs. The position is responsible for navigating the data available through internal Manulife systems as well as third party sources related to non-employee worker data. Critical to the role is a curiosity and the desire to understand the broader business context to enable business users to make data-driven decisions.
Individual Accountabilities:
Data Management – 30%
Understand structured data : an expert in available data sources, what they mean and how they can /should be interpreted for analysis.
Tactical support of data validation, consolidation and cleansing processes.
Responsible for data quality and report creation for contingent workforce programs
Develop reports necessary to manage Program Office performance and meet customer needs. Work with technology partner to develop these reports, including technical scope, design, development, debug and user-acceptance testing.
Troubleshoot problems with creating reports to support reporting requirements, data and metric definitions
Gather questions and requirements from business stakeholders and translate into technical requirements.
Documentation of reporting requirements, procedures and business rules necessary to support the delivery of reporting and analytics for our programs and customers
Learn to utilize the reporting tools utilized by our programs and provided by our Technology partner (Fieldglass)
Work with key Procurement Stakeholders, Data Scientists, and Data Engineers to transform business requests into value-add deliverables including data mapping, data aggregation, data cleansing, and other data-related processes
Automate processes to improve turnaround time on data availability and increase efficiencies in statistical model building process
Responsible for implementing processes which drive efficiency and support data governance
Partner with the Global Operations Data Management team to utilize and understand the technical design and architecture of the Enterprise Data Lake (e.g. cloud storage, streaming technologies, BI Tools)
Foster environment of innovation for team members (i.e. support creativity, thinking out-of-the-box)
Facilitate communication between Operations, Technology Management and internal stakeholders to ensure tools are in place to support data collection
Maintain program reporting catalogs, schedules and documentation to support business continuity.
Operate as escalation point for issues that arise with Technology Partners (Fieldglass)

Data Visualizations (Reporting) – 40%
Establish reporting standards for product / service areas
Ensure reporting standards are applied to programs and deliverables
Compile and deliver data used to measure overall Program performance as well as individual Supplier performance on a daily, weekly, monthly, quarterly basis
Reconcile and manage data quality as necessary to resolve discrepancies and/or reconcile results. Utilize data to identify potential system issues.
Work with program operations teams to ensure that data is being entered correctly and work with technology partner to develop enhancements which will improve reports
Lead the creation of visualizations, reports and dashboards to track strategic SLAs and KPIs for key business stakeholders to make data-driven decisions
Support Program Leadership with ad hoc report requests and Monthly Operational Review presentations
Accountable for business intelligence tool adoption within the business community
Train business users to fully leverage business intelligence tools
Ensure reports are accurate and financial data aligned to Finance and Treasury

Data Analytics – 30%
Understand the broader business context of data and provide meaningful insights for leadership to action; work collaboratively with teams to optimize analysis and insights
Conduct analysis of data trends within programs and summarize findings to support program decision making
Partner with Advanced Analytics to establish a framework and architecture for developing a suite of high quality predictive, prescriptive and self-learning models to elevate ability to predict Procurement needs
Engage with multiple departments across the organization including Advanced Analytics, Finance, Treasury, IT and Procurement teams to tackle problems and identify trends and opportunities in our procurement data and reporting
Maintain regular communication to update partners on progress made on projects
Champion the use of new tools and techniques to maximize big data opportunities and leverage latest data engineering thinking and techniques
Make intelligent trade-offs between resources available and provide creative solutions where all the desired data may or may not be available

Job Requirements:
University degree in quantitative based field (e.g. Statistics, Science, Engineering, Computer Science)
5+ years of experience with data analytics, data mining or statistics
2+ years of Staffing Industry or business knowledge
Advanced knowledge of MS Excel and PowerPoint
Experience with data visualization tools (e.g. Power BI, Tableau, QlikView)
Experience in analysis packages and programming languages such as SQL, R, Python and/or SAS
Aptitude for learning new technologies and learning on the fly
Proficiency with the reporting tools utilized by vendor management technologies such as Fieldglass, Beeline or equivalents

Competencies:
Able to work independently with little to no supervision, proactively taking ownership of key analytical projects
Strong communication and presentation skills with the integrity and confidence to liaise with executives and senior management
Ability to build relationships with key individuals.
Strong problem-solving and analytical skills with the ability to interpret complex data and make data-driven strategic recommendations
Strong technical, organizational and communication skills (both written and verbal).
Be flexible and able to handle multiple tasks concurrently.
Excellent time management skills and the ability to hit aggressive deadlines.
Proven leadership experience and demonstrated ability to build teams and foster a high-performing culture
Knowledge of Big Data Platforms, architecture and data tools a plus (e.g. Hadoop, Spark, etc).

If you are ready to unleash your potential it’s time to start your career with Manulife/John Hancock.
About Manulife
Manulife Financial Corporation is a leading international financial services group that helps people make their decisions easier and lives better. With our global headquarters in Toronto, Canada, we operate as Manulife across our offices in Canada, Asia, and Europe, and primarily as John Hancock in the United States. We provide financial advice, insurance, and wealth and asset management solutions for individuals, groups and institutions. At the end of 2019, we had more than 35,000 employees, over 98,000 agents, and thousands of distribution partners, serving almost 30 million customers. As of June 30, 2020, we had $1.2 trillion (US$0.9 trillion) in assets under management and administration, and in the previous 12 months we made $30.6 billion in payments to our customers. Our principal operations are in Asia, Canada and the United States where we have served customers for more than 155 years. We trade as 'MFC' on the Toronto, New York, and the Philippine stock exchanges and under '945' in Hong Kong.
Manulife is an equal opportunity employer. We strive to attract, develop and retain a workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention and advancement and we administer all of our practices and programs based on qualification and performance and without discrimination on any protected ground.
It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will consult with applicants contacted to participate at any stage of the recruitment process who request any accommodation. Information received regarding the accommodation needs of applicants will be addressed confidentially."
Marketing Insights & Analytics Manager,"Burnaby, BC",Fox Race Face Easton,None,Organic,"Role: Marketing Insights & Analytics Manager (Full Time)
Location: Vancouver, BC
Reporting to: VP, Marketing SSG
WHO ARE WE:
For over four decades, FOX has been an industry leader in the design and development of high-performance suspension products for motorcycles, mountain bikes, off-road cars and trucks, ATVs, UTVs and snowmobiles. FOX equipped vehicles and racers have stood atop podiums in every sport in which we’ve competed — from the sands of Baja to the dunes of Dakar.
Fox Factory’s Specialty Sports Group owns several brands within the cycling industry including Marzocchi: a mountain bike suspension company, Race Face: a manufacturer of high-performance mountain bike components and clothing, and Easton Cycling: a manufacturer of performance road/gravel cycling components.
WHO WE’RE LOOKING FOR:
Fox Factory is searching for a passionate, collaborative and analytical leader to join our team. As a strategic and critical thinker, you will use research, data mining and consumer insights to drive growth through better decision making across our entire go to market process. As a key partner to our product, sales and marketing teams, your work will inform what products and experiences we’ll create, how we got to market, and how we’ll measure our efforts.
WHAT YOU’LL BE DOING:
Reporting to the VP of Marketing, your primary areas of responsibility will include:
Determining total addressable market across all brands and product category
Measuring and monitoring our market share in OE and AM across all categories/regions.
identifying trends, risks and opportunities for growth
Surfacing actionable consumer insights and market data to our product management team that will inform future product initiatives
Providing competitive analysis as well as analyzing sell-in/sell through information to inform product, sales and marketing strategies.
Informing optimal pricing strategies and forecasting growth for new product introductions
Providing data driven insights to drive how we find and market to new customers
Identifying regional insights that will drive global relevancy in our product line and promotions
Set KPIS for all marketing activities, then track and report against them
Surface actionable insights to our brand/creative teams to inform campaign strategy and direction
Determine impact and effectiveness of ALL marketing activities including
brand equity
advertising effectiveness
sports marketing sponsorships and events
customer acquisition/retention
customer lifetime value
overall marketing ROI
REQUIREMENTS
Minimum 5 years experience in data and analytics.
3+ years working across multiple marketing channels with a clear understanding of how they work and how to evaluate them.
Bachelor’s degree; master’s preferred but not required; relevant fields (economics, business, marketing / marketing research, statistics, mathematics, psychology, sociology) desirable but not required.
Strong entrepreneurial spirt and problem-solving skills; demonstrates intellectual curiosity.
Demonstrated ability to drive analytical work and communicate the information in a way that informs and inspires action.
Demonstrated ability to triangulate large amounts of structured and unstructured data
Impressively strong communication skills, showcasing an ability to build narratives around the insights and analysis.
Strong, energetic presentation skills with an ability to influence across multiple cross functional areas
Ability to manage time, projects, and conflicts independently
Thought leadership within environment of industry experts
Ability to establish and sustain strong business relationships and effectively prioritize business needs
Job Types: Full-time, Permanent
Benefits:
Casual dress
Company events
Dental care
Disability insurance
Employee assistance program
Extended health care
Life insurance
On-site parking
Paid time off
Store discount
Vision care
Schedule:
Monday to Friday
Experience:
Analytics: 5 years (Required)
Marketing: 3 years (Required)
Education:
Bachelor's Degree (Preferred)
Work remotely:
No"
Manager of Analytics,"Hamilton, ON",City of Hamilton,"$111,184 - $130,805 a year",Organic,"HAMILTON POLICE SERVICE
TOGETHER | STRONGER | SAFER

The Hamilton Police Service (HPS) provides policing to over 540,000 residents in the City of Hamilton. In 2018, HPS answered over 199,430 emergency calls for assistance from our community. We have over 1,240 employees in Sworn and Civilian roles. Our mission is to be a trusted partner in delivering public safety.


JOB POSTING

HAMILTON POLICE SERVICE (HPS)
CIVILIAN CAREER OPPORTUNITY

MANAGER OF ANALYTICS
Job Title:

Manager of Analytics


Reports to:

Chief Administrative Officer, Corporate Services

Job Location:

Central Station – 155 King William St, Hamilton, ON


Hours of Work:

Monday to Friday, 8:30 a.m. to 4:30 p.m.


Salary Range:

$111,184 - $130,805 per annum ( SOA as of January 2019)


SUMMARY
Hamilton Police Service is proud to serve & protect Hamilton’s residents in partnership with our communities. Our Service is guided by our mission, vision and values in making Hamilton a safe place to live and work.
Reporting to the Chief Administrative Officer (CAO), the Manager of Analytics will define and execute a roadmap for advanced analytics for the Hamilton Police Service (HPS). In this newly created role, the Manager will build an efficient unit for the delivery of organizational analytics. The ideal candidate will be effective in assessing current technologies and making recommendations to develop, manage, and maintain analytical solutions to assist in the delivery of business information solutions and strategic decision support.
Leading the Analytics and Decision Support unit, the Manager will:
Lead project based initiatives, including oversight of the security, evaluation, acquisition, implementation and maintenance of business intelligence and analytical solutions for the Service
Develop and manage the units short and long term objectives, including overall accountability for related capital and operating budgets
Liaise with key stakeholders to identify and support business requirements
Research, identify and make recommendations for best practices to support the Service in meeting its objectives. Provide recommendations on methods for gathering, storing and modelling data to enable effective reporting and analysis
Requirements:
Minimum Post-Secondary Degree or Diploma in Computer Science, Engineering, Statistics or Mathematics, or a related field.
A minimum of 5 years of progressive experience building and delivering analytical business solutions and organizational metrics.
Project Management Professional (PMP) and or Data Scientist Certification or Certified analytics Professional (CAP designation would be considered an asset
Possess experience in the development and implementation of statistical analysis and tools which enhance service delivery, with in-depth knowledge of data modelling
Demonstrated experience with change management and project management
Previous supervisory experience and experience leading analytical projects
Self-motivated with a strong work ethic and collaborative attitude.
Strong interpersonal skills, with the ability to build rapport with a variety of stakeholders
APPLICATION DEADLINE & INSTRUCTIONS
If you are interested in this position, please submit your application (i.e. cover letter and resume) to the City of Hamilton Careers website (https://www.hamilton.ca/jobs-city/current-opportunities).
We thank all applicants, however, only those candidates selected for testing and/or an interview will be contacted. The Hamilton Police Service is an equal opportunity employer that is committed to inclusive, barrier-free recruitment and selection processes. If contacted for an employment opportunity, please advise Human Resources if you require accommodation for testing, interview, or employment purposes.
The deadline to apply is November 13, 2020."
"Manager, Data and Analytics, Google Cloud Support","Waterloo, ON",Google,None,Organic,"Minimum qualifications:
Bachelor's degree with a quantitative focus (e.g., Computer Science, Engineering, Management Information Systems, Statistics, Economics, Mathematics, Physics, Accounting, related area), or equivalent practical experience.
7 years of experience managing data and analytics programs.
3 years of people management experience.
Preferred qualifications:
MBA or Master's degree with a quantitative focus (e.g., Computer Science, Engineering, Management Information Systems, Statistics, Economics, Mathematics, Physics, Accounting, related area).
Experience in R, Python or other analytical or statistical/ML programming, with the ability to apply machine learning methods to solve real-world problems.
Experience analyzing data, creating reports and working with SQL.
Previous experience in analytics, business intelligence reporting, data science, or data warehousing.
Ability to collaborate with stakeholders across different functions to manage change and drive continuous improvement initiatives.
Excellent communication skills and executive presence to influence colleagues and manage business priorities.
About the job
Our Google Cloud Support Data and Analytics team is responsible for all data needs of Google Cloud Support services, a large global support team assisting customers around the globe. As a Manager on our Data and Analytics team, you'll lead a technical team of business analysts and data scientists which is an integral part of our Support team. You will work closely with Cloud Support functional leads and their teams, and be responsible for collaborating with technology partners for data, tools and dashboard development.
Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud solutions that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems.
Responsibilities
Manage and grow a team of business analysts and data scientists.
Develop tools and insights for wider organization and clearly communicate results of complex technical work.
Manage the day-to-day operations and work to solve time-constrained problems while simultaneously creating a well-aligned longer-term roadmap for data and analytics.
Coordinate and own data programs across customer and product Support areas, including analytical decision-making, reporting and predictive analytics.
Consult with stakeholders on data and technical issues based on in-depth business and technical knowledge, providing guidance on technical implementation feasibility. Share findings and recommendations with the support leadership team and other key stakeholders.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
"Sr Manager, Marketing Analytics & Research","Richmond Hill, ON",Staples Canada,None,Organic,"Who we are

Staples Canada is on journey to become the Working and Learning Company. We are dynamic, inspiring partners to our customers and the communities in which we live. At Staples, we inspire people to work smarter, learn more and grow every day. We look for people who are curious, approachable and passionate, and who enjoy finding solutions.

If that’s you, let’s work, learn and grow together.

We are building an inclusive and diverse team

Staples Canada is creating an inclusive and diverse work environment. We welcome, value and thrive on perspectives and contributions from backgrounds that vary by race, gender, sexual orientation, gender identity or expression, lifestyle, age, educational background, national origin, religion or physical ability. If you have a disability or special need that requires accommodation, please let us know.

Some of what you will do

As the Senior Manager, Marketing Analytics & Research, you will be responsible for all the marketing analytic programs of the Canadian delivery and retail businesses, as well as, creating, implementing and directly managing research strategies to support new and existing business development across the country. You will consult with a variety of internal clients to understand their customer insight needs, implement the research to interpret and analyze results, identify areas of opportunity and concern, and develop recommendations on future strategic direction. Each day will be fast-paced, challenging, rewarding and meaningful.

Specifically, you will:
Develop improved program reporting, detailing key program and customer metrics.
Monitor and summarize status of key business metrics, including areas of opportunity and concern, and communicate to appropriate stakeholders.
Establish customer performance metrics to be measured and tracked on ongoing basis, based on business needs.
Develop new reports highlighting customer segment performance, to include detailed purchasing and lifecycle reports by segment, class of acquisition, and vehicle of acquisition.
Prioritize modeling requirements for Staples based on key business objectives and performance targets.
Partner with leaders in various functional areas to understand business and market opportunities and strategize and consult on creating supportive research methodologies
Manage annual national research projects and initiatives, major market studies, brand tracking studies, marketing initiative evaluation research, customer focus groups, mail & telephone surveys, syndicated studies, exit interviews, competitive preferences markets surveys and ad hoc research as required
Develop questionnaires and discussion guides such as on-line panels, flyer research, consumer technology, client experience research
Develop methodology and reports to measure campaign results across mailing segments for each vehicle (catalogues, tabloids, direct mail, emails, etc.). Partner with the marketing team to forecast campaign results.
Develop detailed segmentation strategy for direct mail campaigns based on business objectives and projected impact, along with Marketing Strategy.
Analyze complex research data to interpret research findings and provide recommendations based on data received, using the knowledge of NDA’s & handling of confidential & sensitive information.
Develop standardized website reports outlining key performance metrics
Manage the data integrity, maintenance & development of CMIS to meet Staples Delivery marketing objectives
Some of what you need
5-7 years of experience working with customer analytics, with demonstrated track record of success
Post secondary degree/diploma with a focus on business related field
Experience developing, building and managing execution of customer development, marketing vehicle and overall program metrics and reports
Experience evaluating and measuring the effectiveness of marketing campaigns and programs, and developing recommendations
Experience using customer relationship tools and developing customized programs
Experience working with Oracle databases
In-depth knowledge of Google Analytics, Valex, Brio, SQL, MS Access and Excel
Curious
Approachable
Passionate
Solutions finder
Some of what you will get
Associate discount
Health and Dental benefits
RRSP/DPSP
Performance bonuses
Learning & Development programs
And more...
Additional Information
Combination of work from home and office environment

Qualifications


Job: Marketing
Location(s): CA-ON-Richmond Hill
Schedule: Full-time
:
:
:
Employment Statement
Staples Canada is an equal opportunity employer committed to diversity and inclusion and we encourage applications from all qualified candidates, including those with disabilities."
Marketing Intelligence Manager - Advance Analytics,"Toronto, ON",TELUS,None,Organic,"Senior Business Analyst
Today, TELUS business customers enjoy the best deals and communications. Behind the scenes, however, hundreds of different systems are at play determining how customers can enjoy these competitive rates and awesome customer service to keep their business running and profitable . The TELUS Business Solutions BI team builds solutions for our stakeholders using data from various sources to build algorithms that can predict customer loyalty, churn and stickiness. We love to turn data into stories - stories about money falling through the cracks, success stories about our products and services, but most importantly stories about our customers and how we can enhance their experience. We run like a start-up and we have embraced lean and agile methodologies. We celebrate our failures and see them as opportunities to learn. Our culture fosters collaborative learning and out-of-the-box thinking in a relaxed environment. Come help us to make something awesome!
Here's the impact you'll make and what we'll accomplish together



Working within a team focused on creating a culture of business ownership, you will be empowered to make decisions, drive strategy and innovate for the B2B marketing team. You will help us support our various stakeholder groups within TELUS, by building world class reporting and data architecture that will support all levels of our marketing channel.



Here's how
You'll play a pivotal part in informing and delivering upon our data strategy, by providing sales and marketing performance data, creating custom dashboards and visualization, and supporting marketing and financial strategies
Providing Advance analytical insights to the team and help them improve marketing strategies
Provide technical leadership to internal team members and various stakeholders
Operationalize and support our underlying data systems, improving our system reliability, accuracy and stability



You're the missing piece of the puzzle
You are analytical and outcome-oriented with a proven ability to translate technical considerations into business implications as well as to synthesize data into actionable insights
You are well-versed with Business Intelligence/ Market Intelligence processes and other marketing technologies
You have demonstrated the ability to successfully deliver complex projects involving people, process, technology, and change management
You have experience with agile ways of working and a bias for action to break down barriers to get results fast with a test and learn mindset
You can assemble large complex datasets across multiple databases and sources by building automated pipelines (ETL)
Strong analytic skills related to working with unstructured datasets.
Must-haves
Strong Business Acumen
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
SAS knowledge
Business Intelligence/ Market Intelligence processes and other marketing technologies understanding
Technical or data-driven educational background (computer science, engineering, statistics, data science) and/or Masters of Business Administration (MBA) degree
5+ years of progressive and relevant work experience
Takes ownership, initiates improvements, and is self-directed
Able to effectively engage stakeholders to establish cross functional alignment for projects
Great-to-haves
Prior telecommunications expertise
B2B marketing
Python experience
Hive / Spark / Nifi experience
Experience with cloud (GCP Amazon or Azure)
Data Science / Modeling experience or working in a Data Science team
Who is TELUS?
We're a high-performing team of individuals who collectively make TELUS one of the leading telecommunications companies in Canada. Our competitive consumer offerings include wireline, wireless, internet and Optik TV™. We also deliver a compelling range of products and services for small, medium and large businesses; and have carved out a leadership position in the health, energy, finance and public sector markets with innovative industry specific solutions.
Everyone belongs at TELUS. It doesn't matter who you are, what you do or how you do it, at TELUS, your unique contribution and talents will be valued and respected. Because the more diverse perspectives we have the more likely we are to crack the code on what our customers want and our communities need.
Do you share our passion?
At TELUS, you create future friendly® possibilities.
At TELUS, we are committed to diversity and equitable access to employment opportunities based on ability."
"Sr. Manager, Data Analytics, Tim Hortons, Canada","Toronto, ON",Restaurant Brands International,None,Organic,"Our Opportunity:
Reporting to the Lead, Loyalty and Performance Analytics, this position will be responsible for generating analysis and insights to support Tim Hortons' digital, loyalty, and marketing priorities.
As the Senior Manager, Data Analytics, your role is to lead and empower a team of managers and analysts to develop relevant insights on our customers to enable our stakeholders to make data driven decisions. This role will be required to work cross functionally with digital and marketing teams to push projects and business priorities forward.
Responsibilities:
Develop and manage a team of managers and analysts to generate meaningful analysis and insights to support our digital, loyalty and marketing businesses
Design and build relevant dashboards to report various metrics utilizing Tableau
Be a subject matter expert in the field of data analytics, customer segmentation, machine learning and data visualization
Create and provide clear presentations to deliver insights to leadership and key stakeholders
Skills & Qualifications:
University degree in Business, Statistics, Computer Science or other related fields; A Master's/Advanced Degree in Data Science, Analytics, Computer Science is an asset
5+ Years of experience working with data and utilizing quantitative techniques, experience working in QSR, Loyalty, Customer Insights in a plus
3+ Years of direct management experience
A high degree of competency using SQL queries to extract and manipulate data
Experience using R or Python and working with Data Visualization Software (e.g. Tableau)
Advanced Excel and PowerPoint skills
Ability to complete multiple projects simultaneously in a work environment that demands flexibility, adaptability and ambiguity
Strong teamwork, interpersonal and negotiation skills
Strong communication and presentation skills
Restaurant Brands International and all of its affiliated companies (collectively, RBI) are equal opportunity and affirmative action employers that do not discriminate on the basis of race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or veteran status, or any other characteristic protected by local, state, provincial or federal laws, rules, or regulations. RBI's policy applies to all terms and conditions of employment. Accommodation is available for applicants with disabilities upon request.

#LI-POST"
Marketing Analytics Manager,"Markham, ON",Pet Valu,None,Organic,"Location: Markham, Ontario
Job Description:
What is the role?
We are looking for a dynamic individual with experience and passion for using data and analytics to drive business results. As a member of the Marketing team, the Marketing Analytics Manager will lead analytical work streams to optimize campaigns across various marketing platforms. This involves developing, validating and scaling analytics driven contact strategies through rapid test and learn across a variety of programs and channels, working with key business partners.
What will you be doing?
• Lead analytical projects: responsible for the deliverable in an individual capacity or in conjunction with others– including analysis design, execution process, development and delivery of business and/or customer insights
• Develop recommendations and test plans to optimize campaigns (email, in-store, online/digital) including audience targeting, product and offer recommendation, performance analysis and insights/recommendation development, etc.
• Analyze customer and campaign performance trends, (including adhoc/custom requests from internal business partners), and effectively present the key findings to business partners.
• Promote a culture of test and learn, by designing marketing tests, measuring the outcome and recommending data-driven business actions
• Recommend changes to contact strategy or content of marketing campaigns, and identify opportunities for new campaigns
• Conduct analysis (hands-on) on customer and campaign data using analytical and statistical tools such as Tableau/SQL/Python to uncover insights and program recommendations
• Identify, implement and integrate new KPIs that can be used to benchmark the effectiveness of various promotions
• Develop compelling stories in presentation or written format to answer critical business questions using data from a variety of sources such as customer, purchasing trends, campaign responses, web traffic, merchandising/product assortment, etc
• Use a variety of software tools, such as spreadsheets, databases, reporting/analytical software, and graphics packages to assemble, manipulate and format data and reports.
• Support ongoing post-event analysis of marketing programs including post-campaign digital reports (email, influencer, social, web)
• Partner with marketing leadership to establish strategic marketing plans to achieve National and local campaign objectives
• Work with IT and technical teams to define and automate regular tasks and reporting
Education
• 4+ years’ experience in conducting analytics and applying analytics to influence business decisions in a retail or marketing organization
• Bachelor's Degree in Statistics, Quantitative Economics, Mathematics, Marketing, Economics, Engineering, Operations Research or similar programs
What you bring to the role
Strong Personal Drive for Excellence
· Excellent organizational and time management skills, with the ability to manage multiple priorities in a high demand environment
· Great sense of urgency and accountability, results-oriented with strong execution skills
· An independent problem solver, must be able to find creative solutions to unusual or unprecedented problems
Analytically Minded and Curious
· Logical approach to assessing program and promotion results, able to create, define and measure with consistent application
· Goes beyond the requirements to provide more insights, dives into specific business challenges to learn and find out how Loyalty can improve things
· Intrinsic curiosity to answer business questions by objectively analyzing data creating insight which translates into actionable strategies
Ambassador for Loyalty
· A team player who excels when working with others (internally and externally)
· Excellent verbal and written communication skills – style, spelling, grammar, editing and proofreading
· Self-directed, ability to use independent judgment but able to work effectively as part of a team too
Technical Requirements
· Very comfortable with MS office (Word/Excel/Access/PowerPoint) and Access queries, Excel pivot tables/V-lookups
· Adept skills in SQL against relational databases
· Ability in advanced analytical tools such as SAS, Python, R a strong plus
· Experience in Tableau, or similar BI/Reporting tool critical
· In-depth knowledge of SEO/SEM, Google Tag Manager and Google Analytics
#INDC"
