Title,Location,Company,Salary,Sponsored,Description
Data Scientist (Decision Science),"Mississauga, ON",Compass Digital Labs,None,Organic,"Hey there! Just in case you were wondering, this role will be remote for the remainder of 2020 and we will revisit the possibility of working back in our HQ office come January 2021. A member from our recruitment team can explain this in more detail if selected to move forward to the initial phone screen. We look forward to hearing from you!
WHO WE ARE:
Compass Digital Labs is an organization that drives innovation for Compass Group NA, an $18 billion food hospitality organization. Compass Group serves over 3 billion meals per year in award winning restaurants, corporate cafes, hospitals, schools, arenas, museums, and more. As the innovation branch of Compass Group, we’re custom-built for fast-paced transformation at the intersection of hospitality and technology. We’re focused on delivering the best experiences possible for our customers and consumers.
WHAT WE DO:
We are a team of high performing problem solvers with the same vision: to drive the digital future in hospitality. As digital experts we are focused on building a diverse set of products and solutions for our consumers. Our core products include mobile apps, self-serve kiosks, POS and delivery. We also invest in areas like AI, IoT and frictionless retail. Here we work with the “art of the possible” ideas, where we explore and develop the future of hospitality and technology.
We're looking for a Data Scientist to join our decision science team investing in areas of data management, machine learning and computational social science to understand our hospitality environment, the people as well as how they interact with each other. We uncover latent consumer behaviours from our mobile apps, self-serve kiosks, POS and digital marketing channels.
WHAT YOU'LL BE DOING:
Collaborate with several of our cross-functional teams like development, product and marketing to use data as a tool to make decisions and solve business problems
Develop custom algorithms to maximize ROI and business initiatives
Discover different ways of analyzing data across our full company ecosystem, and provide actionable insights before and after high impact business decisions
Work with multiple data sources and inputs, and carefully choose the appropriate course of action (analysis, modeling etc.) based on their ability to solve business problems
WHAT YOU’LL BRING:
Undergraduate Degree in a STEM program
Strong skills with R, Python and SQL
Experience developing custom algorithms
Nice to have skills: experience with web scraping and machine learning model deployment
ABOUT YOU:
A strong business acumen, problem solving aptitude as well as a robust analytical mind
Top notch communication skills, both written and oral
Excellent people and management skills to interact with colleagues, cross-functional teams and stakeholders
A go getter attitude and a passion for your work!
Powered by JazzHR
pXiBiTrAns"
Data Scientist,"Vancouver, BC",Technical Safety BC,$50.11 - $58.04 an hour,Organic,"About Technical Safety BC
Technical Safety BC (formerly BC Safety Authority) is an independent, self-funded organization that oversees the safe installation and operation of technical systems and equipment across the province. In addition to issuing permits, licenses and certificates, we work with industry to reduce safety risks through assessment, education and outreach, enforcement, and research. Through simplification of our initiatives we promote understanding and engagement, making safety accessible to everyone. As society changes, we create and adopt new ideas, skills, and tools that will enable us to meet the safety challenges of a highly-connected world.
We're always looking for exceptional people to bring new ideas, fresh thinking and the motivation to help shape the safety system in B.C. We are strongly committed to fostering diversity within our community. Technical Safety BC welcomes those who would contribute to further diversifying our organization, as we are an equal opportunity employer.
Our values guide our work.
We See Genius in Diversity
We Foster Confidence
We Make the Complex Simple
We Adapt
Status: Regular, Full-Time, Union
Location: Vancouver
Pay Rate: $50.11 - $58.04
Reports to: Leader, Research & Analytics
Principal Accountabilities:
Responsible for the machine learning component of SRA (predictive algorithm used for Resource Allocation Program at Technical Safety BC) and coordinate with SRA stakeholders to ensure smooth delivery of the RAP machine learning output
Responsible for development of additional machine learning products through team collaboration that are multi-faceted and cross functional
Apply leadership and promote value of data science to help make sound safety decisions
Demonstrate deep understanding of quantitative theories around client safety behaviors and triggers in use of analytics and be able to communicate effectively the analytical use cases both internally and externally
Able to communicate and collaborate effectively with BI team to support various BI development projects
Work with multiple, complex data sources such as social media APIs and other open source APIs
Build machine learning algorithms that are scalable.
Design, build, implement & test machine learning models, and ship deployment-ready versions into production
Identify new data sources/patterns that add significant lift to machine learning models
Develop innovative solutions to hard machine learning problems such as sample selection bias, and supervised learning
Able to conduct independent research


Knowledge, Skills & Experience:
Education and Experience
Strong background in applying machine learning techniques
Strong ability in python and R
Experience building and optimizing data pipelines, architectures and data sets
Strong ability to prototype deployment tools such as web app development
Fluency in big data platforms such as Spark
Experience with relational SQL and NoSQL databases
Experience with agile project management
Experience with AWS cloud services
Fluency in open source technology such as Tensorflow
Experience with text mining and image processing (deep learning algorithm)
3-5 years of relevant quantitative and qualitative research and analytics work
Master’s Degree or above in Computer Science, Statistics or Data Science


Knowledge and Skills
Business savvy to be able to translate technical work to business values
Highly motivated to tackle multiple projects in parallel
Aptitude to independently learn new technologies
Excellent written and oral communication skills and ability to share findings with a large, non-technical audience
Ability to engage in collaborative dialogue with a wide range of internal and external customers/stakeholder
Solid understanding of experimental design, combined with creativity and curiosity to explore innovative solutions
Solid understanding of IT systems, databases, and data management including data quality
Excellent planning and organizational skills to develop plans for designated projects and assignments
Solid analytical, problem-solving and decision-making skills to identify and take action to assess needs, address challenges, and manage change
Basic leadership skills to provide day-to-day technical guidance"
Data Scientist,"Toronto, ON",Indigo Park,None,Organic,"Indigo Park is an industry leader and the most respected brand in parking and individual mobility, providing cutting-edge technology and innovation every step of the way. Our success comes from providing tailor-made, innovative solutions, first class customer service experience, continual evolution and an advanced vision of parking facilities. Active in 11 countries and with more than 2,000 employees in Canada, we are present in airports, hospitals, hotels, clinics, school boards and more! Indigo believes that its strength lies primarily with its employees and is committed to sharing its success and promoting team spirit with them.
Job Description
This role is an integral part of the Business Intelligence Airport Team. The role is responsible for delivering advanced analytical models (including predictive) and dashboards for various data sets across airports within Canada Indigo Parking services. You will build and implement detailed dashboards, in-depth analysis and business models using advanced statistical and predictive modelling tools.
Why Join Indigo?
· Growth in a dynamic and supportive team
· Sites easily accessible by public transit
· Employee Referral Bonuses
What Would You Be Doing?
Design, build, implement, automate and improve advanced analytics models (including predictive) and various operational and pricing models across multiple sectors for Indigo Canada that clearly communicate results, elucidate patterns, generate actionable insights and facilitate decision making.
Develop and maintain analytical dashboards driven from insight learnt from the modelled outputs
Responsible for data preparation, manipulation and the maintenance of the data flow into dashboards and data models
Apply advanced analytic techniques such as machine learning, data mining and statistical modelling to design and implement mathematical models and algorithms into real-world Parking scenarios, and document process and results
Prepare projections of revenue and bookings based on numerous variables and data assumptions, in collaboration with management and clients
Work on modelling occupancy, demand, seasonality along with other inputs with the view to optimising the right price, at the right time for the right customers
Explore and examine data from multiple disparate sources
Translate complex analytical results into usable business initiatives
Processing, cleansing, and verifying the integrity of data used for analysis
Expected to carry out other duties as may reasonably be assigned by a Manager
Duties may vary from time to time without changing the general character of the post or level of responsibility entailed
What Are the Working Conditions?
Must be able to sit for long periods of time
What Are We Looking For?
Education in Data Analytics, Computer Scientist, or similar such as business analytics, mathematics, statistics, operational research, physical or computer science
1-2 years of Data Scientist experience (emphasis on working with large amounts of data and building dashboards)
Strong practical understanding of the application of analytics to business issues across multiple industries and varying size client engagements
Ability to identify and define complex problems, assess appropriate analytical approaches from options developed logically
Data Modelling and analytical skills, proficient in IBM SPSS, Enterprise Miner, Open Source Languages (R, Python), Excel and comfortable handling and analysing large data sets
IBM Cognos TM1 or OLAP tool experience
Experience using Power Bi
Report Authoring, Data Cleansing, normalisation
Ability to meet tight deadlines
Plan and organize complex work stream, manage materials/technology effectively to best deliver value and quality to the client
Demonstrate a collaborative work approach and support their client colleagues to work together to achieve success
Excellent presentation, written and verbal communication skills
What Will Set You Apart?
· Commercially astute
· Experience in conducting analysis for evidence based decision making, developing models and decision support tools or building business cases for investment decisions
· Excellent inter-personal, organisational and time-management skills, even when under pressure
· Enthusiastic, energetic, hardworking, passionate, goal focused, and willing to learn
The composition of Indigo's workforce reflects a wide variety of ages, profiles and roles. We maintain and promote this openness through a policy of equal opportunities and fight against all forms of discrimination in hiring and in work relationships. Applications from various groups are welcomed and encouraged. Every person has a right to equal treatment with respect to employment or discrimination, but it does not include any other person under the Human Rights Code. Accommodations are available on request in the relationship to the materials or processes process.
Successful candidates will be required to submit a Criminal Background Check.
We thank all applicants for their interest in this position. However, due to the high volume of applicants, we will only be contacting candidates selected for an interview. No agency or applicant phone calls please.
During these unprecedented times, Indigo Park is doing everything required to ensure the safety of its candidates and employees.
Indigo Park has adjusted its recruitment process to reflect the current climate we live in due to COVID-19. Therefore, we have transitioned to prioritizing virtual interviews.
We will continue to take every necessary precaution to ensure the well-being of everyone during our recruitment process.
Job Types: Full-time, Permanent
Schedule:
Monday to Friday
COVID-19 considerations:
During these unprecedented times, Indigo Park is doing everything required to ensure the safety of its candidates and employees.
Indigo Park has adjusted its recruitment process to reflect the current climate we live in due to COVID-19.
Experience:
Data Scientist : 2 years (Preferred)
Work remotely:
Temporarily due to COVID-19"
"20-78 Data Scientist (Closing Date: November 22, 2020)","Vancouver, BC",Technical Safety BC,$50.11 - $58.04 an hour,Organic,"About Technical Safety BC
Technical Safety BC (formerly BC Safety Authority) is an independent, self-funded organization that oversees the safe installation and operation of technical systems and equipment across the province. In addition to issuing permits, licenses and certificates, we work with industry to reduce safety risks through assessment, education and outreach, enforcement, and research. Through simplification of our initiatives we promote understanding and engagement, making safety accessible to everyone. As society changes, we create and adopt new ideas, skills, and tools that will enable us to meet the safety challenges of a highly-connected world.
We're always looking for exceptional people to bring new ideas, fresh thinking and the motivation to help shape the safety system in B.C. We are strongly committed to fostering diversity within our community. Technical Safety BC welcomes those who would contribute to further diversifying our organization, as we are an equal opportunity employer.
Our values guide our work.
We See Genius in Diversity
We Foster Confidence
We Make the Complex Simple
We Adapt
Status: Regular, Full-Time, Union
Location: Vancouver
Pay Rate: $50.11 - $58.04
Reports to: Leader, Research & Analytics
Principal Accountabilities:
Responsible for the machine learning component of SRA (predictive algorithm used for Resource Allocation Program at Technical Safety BC) and coordinate with SRA stakeholders to ensure smooth delivery of the RAP machine learning output
Responsible for development of additional machine learning products through team collaboration that are multi-faceted and cross functional
Apply leadership and promote value of data science to help make sound safety decisions
Demonstrate deep understanding of quantitative theories around client safety behaviors and triggers in use of analytics and be able to communicate effectively the analytical use cases both internally and externally
Able to communicate and collaborate effectively with BI team to support various BI development projects
Work with multiple, complex data sources such as social media APIs and other open source APIs
Build machine learning algorithms that are scalable.
Design, build, implement & test machine learning models, and ship deployment-ready versions into production
Identify new data sources/patterns that add significant lift to machine learning models
Develop innovative solutions to hard machine learning problems such as sample selection bias, and supervised learning
Able to conduct independent research

Knowledge, Skills & Experience:
Education and Experience
Strong background in applying machine learning techniques
Strong ability in python and R
Experience building and optimizing data pipelines, architectures and data sets
Strong ability to prototype deployment tools such as web app development
Fluency in big data platforms such as Spark
Experience with relational SQL and NoSQL databases
Experience with agile project management
Experience with AWS cloud services
Fluency in open source technology such as Tensorflow
Experience with text mining and image processing (deep learning algorithm)
3-5 years of relevant quantitative and qualitative research and analytics work
Master’s Degree or above in Computer Science, Statistics or Data Science


Knowledge and Skills
Business savvy to be able to translate technical work to business values
Highly motivated to tackle multiple projects in parallel
Aptitude to independently learn new technologies
Excellent written and oral communication skills and ability to share findings with a large, non-technical audience
Ability to engage in collaborative dialogue with a wide range of internal and external customers/stakeholder
Solid understanding of experimental design, combined with creativity and curiosity to explore innovative solutions
Solid understanding of IT systems, databases, and data management including data quality
Excellent planning and organizational skills to develop plans for designated projects and assignments
Solid analytical, problem-solving and decision-making skills to identify and take action to assess needs, address challenges, and manage change
Basic leadership skills to provide day-to-day technical guidance"
Data Scientist II,"Toronto, ON",Zynga,None,Organic,"Zynga is a leading developer of the world’s most popular social games that are played by millions of people around the world each day. To-date, more than 1 billion people have played our games across Web and mobile, including Words With Friends, FarmVille, Zynga Poker, Merge Dragons, Empires & Puzzles, Hit it Rich! Slots and CSR.
Zynga’s data science and analytics team uses our unique and expansive data to model and predict user behavior, making our games more personalized and more fun to play! We strive for a better understanding of our players which translates into challenges and features that delight them and increased social engagement within our games.
Here’s where you would come in: identify and formalize problems to understand user behavior. Create systems and analyses to derive insights that change the studio’s world view. Be innovative, be creative, use every bit of that key commodity – data. Millions of people play Zynga games every day, so our data is tremendously rich and we have a lot of it!
We will rely on you to communicate your findings to your peers – both technical and non-technical. Your solutions to difficult problems will need to be demonstrably impactful, visual and maintainable. You will work with our game teams to put your models into production. You will collaborate with Product Managers, Game Designers, and Engineers to deliver business impact, changing current practices in line with new findings and insights.
Responsibilities:
Work with large amounts of data to find opportunities to improve the experience that Zynga provides to its players
Deliver analytics and data science projects that are aligned with the roadmap, and product goals - balancing actionable insights to substantially improve core game metrics
Drive and empower game studio to make quantitatively informed, evidence based decisions through maintaining source of truth data sources and dashboards
Work closely with game team to design, test, verify and implement machine learning models and product features with Zynga’s games that impact millions of users
Required Skills and Experience:
BS in Computer Science, Math, Statistics, Economics, or other quantitative field; Masters, MBA or PhD preferred
2+ years of work experience in data science or analytics roles
Fluent in SQL; Solid experience with programming in Python and/or R; Adept in at least one visualization tool such as Tableau, or QlikView
Demonstrable experience with some or all of the following: statistics, experimental design, machine learning, deep learning
Experience in analyzing large datasets, preferably in a Hadoop or Spark environment, and deploying production ready systems at scale
Strong written and oral communication skills
Ability to work effectively in a fast-paced environment with changing priorities
Ability to collaborate effectively with engineers, product managers, analysts, and marketing to deliver unambiguous business impact
Strong passion for gaming!
Zynga is an equal opportunity employer. We are proud of our diverse community; we do not discriminate on the basis of race, sex, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, medical condition, disability, or any other class or characteristic protected by applicable law. We encourage candidates, players, employees, and partners from all backgrounds. Join us!
Zynga will consider for employment all qualified applicants with criminal histories in a manner consistent with applicable law.
What we offer you:
Zynga Stock RSUs and Bonus Plan
Full medical, dental, vision benefits as well as life insurance
Catered lunch daily
Generous Paid Maternity/Paternity leave
Open vacation policy for many employees
Flexible working hours on many teams
Casual dress every single day"
Data Scientist - Edmonton AB,"Edmonton, AB",Teknobuilt,"$84,052 a year",Organic,"We are hiring a Data Scientist, based in Edmonton-AB, Canada!
About Company -
Teknobuilt is an innovative construction technology company accelerating Digital and AI platforms to help all aspects of program management and execution for workflow automation, collaborative manual tasks and siloed systems. Our platform has received innovation awards and grants in Canada, UK and S. Korea and we are at the frontiers of solving key challenges in the built environment and digital health, safety and quality.
Teknobuilt's vision is helping the world build better- safely, smartly and sustainably. We are on a mission to modernize construction by bringing Digitally Integrated Project Execution System - PACE OS and expert services for midsize to large construction and infrastructure projects. PACE is an end-to-end digital solution that helps in Real Time Project Execution, Health and Safety, Quality and Field management for greater visibility and cost savings. PACE enables digital workflows, remote working, AI based analytics to bring speed, flow and surety in project delivery. Our platform has received recognition globally for innovation and we are experiencing a period of significant growth for our solutions.
Job Brief:
The Data Scientist is responsible for developing solutions for Machine Learning and AI based algorithms from programming, algorithms and data handling aspects of the platform. It also involves assessing, transforming, improving, cleaning, and manipulation of data and algorithms in the business’s operations, analytics databases and external systems. The Data Scientists will work closely with the industrial subject matter experts, engineers, data analytics teams, data scientists/engineers, and data warehouse engineers in order to understand and aid in the implementation of database requirements, machine learning solutions, analyze performance and troubleshoot any existent issues.
Responsibilities include:
Work collaboratively in a growing team, with the help of business owners, subject matter experts, data engineers and software engineers, to analyze large structured and unstructured data to uncover insights.
Examine complex data, develop and implement Machine Learning (ML) and AI models to turn it into information and insights to inform business decisions on project execution, health, safety and quality issues, schedule forecasting etc.
Knowledge & experience of any one Machine Learning & Deep Learning (DL) libraries such as Scikit Learn, Tensorflow, Keras, Pytorch etc.
Knowledge & experience of ML/DL techniques and concepts (Generalized Linear Models, Random forests, Boosting, NLP, Deep Learning NNs, etc.)
Utilize advanced analytical techniques, such as multivariate statistical analysis, clustering and segmentation to derive and evaluate platform users behavior insights.
Work with technical and business teams to analyze operational feasibility, implementation and production integration.
Detect and monitor data drift, tracking accuracy across time, and ensure that any errors are quickly discovered.
Test hypotheses based on statistical data to create impact and grow business knowledge.
Present recommendations based on findings on statistical analyses to senior level executives.
Participate in research, development, and building of proof of concepts.
Qualification:
Master's or PhD. degree in Mathematics, Statistics, Computer Science or another quantitative field
Desired Skills:
Minimum 7 years of experience in data science and machine learning.
Experience using any of the standard web services for ML.
Experience visualizing/presenting data for stakeholders using any one of the following: Python, R, Ggplot2, Seaborn, Periscope, Business Objects, Tableau etc.
Knowledge of various types of ML/ AI modelling algorithms and techniques like NLP.
Experience monitoring and validating data models in a business environment.
Demonstrated knowledge in Python (preferred) or R programming languages.
Excellent communication skills with the ability to translate complex analysis for non-technical stakeholders.
Strong problem solving ability and intellectual curiosity.
Previous experience in SQL development.
Experience with data visualization
Additional Details -
Salary Range: Competitive
Position Type: Permanent
Employment Type: Full Time
WE APPRECIATE YOUR INTEREST IN TEKNOBUILT
Job Type: Full-time
Salary: Up to $84,052.00 per year
Schedule:
8 hour shift
Work remotely:
Temporarily due to COVID-19"
Senior Data Scientist,"Winnipeg, MB",Manitoba Government,"$67,671 - $82,064 a year",Organic,"The Manitoba government recognizes the importance of building an exemplary public service reflective of the citizens it serves, where diverse abilities, backgrounds, cultures, identities, languages and perspectives drives a high standard of service and innovation. The Manitoba government supports equitable employment practices and promotes representation of designated groups (women, Indigenous people, persons with disabilities, visible minorities).
Employment Equity is a factor in selection for this competition. Consideration will be given to women, Indigenous people, visible minorities and persons with disabilities.
We are building a team of enthusiastic people to turn data into good policy and governance. Our ambitions are high and many of our strategies have never been attempted before. We are hiring two data scientists to join a fearless team working to make an outsized impact.

As the data scientist, you will act as the technical expert in the Data Science Unit, completing specialized and complex data analytics projects. You will draw on your advanced knowledge of and experience with complex statistical methods, programming, data modelling and analytics to drive evidence-based decisions that have a positive impact on the lives of Manitobans. You will be a key player in the development of Manitoba’s broader data analytics strategy.

What we offer:
Be part of an unprecedented initiative to push the boundary of data use in government.
Use data to inform policies that make a real and positive difference in the lives of Manitobans.
Work within an innovative and supportive team.
Work with diverse and unique data not available in any other sector.
Have the freedom to suggest and pursue novel initiatives with a high degree of creativity.
Conditions of Employment:
Must be legally entitled to work in Canada
A satisfactory Criminal Record Check

Click here to access the position profile
Qualifications:
Essential:
Advanced postgraduate training in statistics, computer science, engineering, mathematics, social sciences or related discipline (Master’s degree or higher), or equivalent work experience.
Extensive, immersed, hands on experience working with large, complex datasets that require significant cleaning and management.
Extensive hands on experience using complex data to design and execute predictive analytics and other quantitative research projects.
Extensive experience using statistical software and programming languages, such as R, Python and/or SQL.
Experience working with big data platforms (e.g. Google BigQuery) and using Jupyter Notebook/Lab.
Knowledge of emerging techniques and methodologies such as machine learning, web scraping, sentiment analysis, etc.
Strong data visualization skills.
Experience communicating scientific knowledge and research to diverse audiences in non-technical language and ability to build consensus around research findings.
Independent learner with excellent critical thinking skills, a commitment to research excellence and a meticulous eye for detail.
Effective leadership skills with the ability to lead and work collaboratively in a team setting to complete complex projects.
Excellent problem-solving skills with the ability to render technical decisions and recommendations.
Proven ability to manage multiple competing priorities in a fast paced and dynamic environment.

Desired:
Experience with GIS analysis.
Experience working with multiple statistical software and programming languages.
Ability to use the outcomes of data analytics to tell stories with actionable implications by clearly answering the “so what” question.
Duties:
The Data Scientist serves as the technical lead in the Data Science Unit and works closely with the Director of Data Science to understand and realize the data needs and goals of client departments across government. The Data Scientist develops appropriate methodologies, aligning with available data and best research practices, and completes complex data analytics projects that address the questions and needs of departments and tell a story that influences policy with evidence-based recommendations.
Apply to:
Advertisement # 36772
Service Centre 3
Human Resource Services
600-155 Carlton Street
Winnipeg, MB , R3C 3H8
Phone: 204-945-8819
Fax: 204-948-3382
Email: govjobs@gov.mb.ca
WHEN APPLYING TO THIS POSITION, PLEASE INDICATE THE ADVERTISEMENT NUMBER AND POSITION TITLE IN THE SUBJECT LINE AND/OR BODY OF YOUR EMAIL.
Applicants may request reasonable accommodation related to the materials or activities used throughout the selection process. When applying to this position, please indicate the advertisement number and position title in the subject line and/or body of your email. Your cover letter, resumé and/or application must clearly indicate how you meet the qualifications.
Please be advised that job competitions may be grieved and appealed. Should a selection grievance be filed, information from the competition file will be provided to the grievor's representative or the grievor, if unrepresented. Personal information irrelevant to the grievance and other information protected under legislation will be redacted.
We thank all who apply and advise that only those selected for further consideration will be contacted."
Central Data Scientist,Remote,PRA Health Sciences,None,Organic,"At PRA, we don’t make our 17000+ people great. It’s the other way around. As we have grown to a top-5 CRO, we have maintained the feel of a small company, dedicated to collaboration and passion for what we do.

We always have a desire to keep seeking new and better ways to operate. We don’t settle for the same old ways. Our passion for improving patient lives worldwide permeates all that we do. Put simply, we care.
Responsibilities
Due to growth we are currently seeking a Central Data Scientist, to work as part of an established global group that supports project teams in analyzing clinical data to identify risks and data issues, using advanced analytical techniques.

Acting as a Key Functional Lead on projects; the Central Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to internal and external stakeholders.

Key responsibilities in this role include:
Developing and maintaining study documents specifying strategy, approach and procedures on assigned protocols/projects.
Providing input to applications, databases and systems used to assess study data quality.
Reviewing clinical data at aggregate level regularly throughout assigned studies using analytical reporting tools to support the identification of risks and data patterns/trends.
Creating analytical reports and presentations to facilitate review and data-driven decision making during team meetings
Performs analytical reviews and collaborates with assigned project teams to address data-related questions and recommend potential solutions.
Provides input during adaptive monitoring assessment process.
Documents review findings utilizing applicable systems, according to standard procedures.
Develops analytical reports using programming knowledge and data modeling techniques, e.g., SQL, SAS.
Leads Analysis of Findings meetings on assigned projects.
Escalates project concerns such as outof-scope tasks, at-risk project deliverables and project team relationship issues to functional and project managers in a timely fashion.
Qualifications
You are...
Analytically-minded, a problem-solver
Here at PRA we want our employees to succeed and ensure that they are set up for this success through constant training, development and support. To enable success in this position you will have:
Bachelor’s degree (or equivalent) in a Scientific or Healthcare discipline
Previous experience, ideally in a similar role, but we are also open to considering people with other relevant clinical trials experience, including those working as Lead Data Managers, Programmers, Clinical Research Associates, Clinical Team Managers and Project Managers.
Familiarity with risk-based monitoring
Technical ability: use of JReview specifically or other analytical/visualization tool (e.g Spotfire, SAS JMP Clinical, SAS, R) or at a very minimum significant experience in using excel (including pivot tables, graphics and data exploration).
Analytical thinker: ability to break down issues into manageable components
SQL experience
Skills in aggregating data review and interpretation using visualization/analysis software e.g. JReview, Tableau, SAS
You will be frequently collaborating within multi-cultural global teams, so will need to demonstrate excellent written and oral communication skills, exhibit pro-active teamwork alongside a positive attitude, and maintain up-to-date industry awareness and understanding of regulation/standards.

PRA is an EEO/AA employer and is committed to providing opportunities to minorities, women, veterans and individuals with disabilities.
Options
Apply for this job onlineApply
Share
Sorry the Share function is not working properly at this moment. Please refresh the page and try again later.
Share on your newsfeed
Connect With Us!"
Data Scientist – Fraud Detection & Prevention,"Vancouver, BC",TELUS,None,Organic,"Create better business outcomes with your analytical acumen and creativity.

Join our team

The Data Strategy & Enablement team is on a continuous journey towards helping TELUS become a world-class leader in data solutions. We are doing so by delivering data analytics capabilities built upon unified scalable platforms, advanced AI tooling and high quality data. We have a data-product and data-platform oriented culture and we are always keeping an eye on the horizon, preparing for the next big thing.

We are looking for a technical expert that brings world-class expertise in Artificial Intelligence and Geolocation to join our AI and Geo-Analytics Center of expertise spanning all of TELUS’ brands to provide guidance, automation and insights through collaboration with cross-functional teams to evolve the way they do business in this data insights era.

Together, we will develop and execute strategic programs that will enhance the experience for TELUS subscribers, including improving the robustness and reliability of our networks.

Always wanted to work with a team of innovators and be part of a culture that embraces creativity and collaboration? If so, we’d love to talk with you!

Here’s the impact you’ll make and what we’ll accomplish together

As our Data Scientist – Fraud Prevention & Detection Specialist, you’ll be a part of the team and journey that will transform the way we do business across various domains. You will provide vision and strategic guidance to evolve from common static analysis to dynamic machine learning deployment.

You will combine your expert knowledge of data science with your fraud prevention and detection experience to automate and facilitate machine learning model development, training and deployment to better predict and prevent frauds across various business units.

You’ll collaborate with teams across the company, seeking out various data sources to help identify and prevent frauds while championing data driven decision making and the accelerated adoption of AI.

Here's how
Set the grounds to better identify and prevent all types of frauds across the organization
Identify potential risks through data analytics and work with key stakeholders to identify and prevent frauds
Influence how we approach business challenges and opportunities by driving the adoption of a data driven mindset
Construct, validate and test AI models that will bring value to the organization
Work with structured and unstructured raw data to design and develop innovative predictive models, metrics, and dashboards to uncover actionable insights
Visualize and report data findings creatively in a variety of visual formats that provides insights to the organization
Qualifications
You're the missing piece of the puzzle
You are recognized for addressing business needs via your application of data mining, predictive modeling, statistics and other analytical techniques
You are sought out for your skills in Machine Learning (supervised and unsupervised), classification, clustering, segmentation, time series analysis, forecasting and optimization
You have solid development experience with Python and you are comfortable using various data science libraries such as Scikit-learn, Panda, Numpy and TensorFlow/Pytorch/Keras
You are well versed in software and AI development lifecycles
You are the go-to person for understanding data warehouses/Hadoop architectures and ETL processes
Have telecommunication technology understanding
Great-to-haves
Have experience identifying and preventing port-out or sim swap frauds
Post graduate education in Artificial Intelligence, Cloud Dev/Ops or Security
GCP certification"
Data Scientist – Machine Learning,"Calgary, AB",A4 Systems Corporation,None,Organic,"Education
Bachelor’s Degree in Computer Science or another quantitative field
Experience
Minimum 5 years of experience manipulating data sets and building statistical models
Employment Terms
Contract position with opportunity to be permanent after 6 months
Location
Calgary, AB
Responsibilities:
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions
Mine and analyze data from company databases to drive optimization and improvement of product development
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop and test custom data models and algorithms to apply to data sets
Develop testing framework and test model quality
Process large amounts of structured and unstructured data, including integrating data from multiple sources
Design experiments and collect data for the purpose of deriving data analytics insights and solutions
Experiment with multiple Best Fit algorithms
Coordinate with different functional teams to implement models and monitor outcomes
Develop processes and tools to monitor and analyze model performance and data accuracy
Requirements:
Strong problem-solving skills with an emphasis on product development
Experience using statistical computer languages (Python, SLQ, etc.) to manipulate data and draw insights from large data sets
Experience working with and creating data architectures
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Experience working with Big Data
Excellent written and verbal communication skills for coordinating across teams
A drive to learn and master new technologies and techniques
Familiar with the following software/tools:
Coding knowledge and experience with several languages: C, C++, Java
JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: Python, SLQ, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience with distributed data/computing tools: MySQL
Experience visualizing/presenting data for stakeholders
Interest in predicting trends and identifying patterns
Strong investigative and observation skills
Critical thinking"
