Skills,Umbrella_Term
artifical intelligence,ai
\bai\b,ai
intelligent systems,ai
azure,ai: platform-Azure
google ai,ai: platform-google ai platform
infosys nia,ai: platform-infosys nia
premonition,ai: platform-premonition
watson ai,ai: platform-watson
watson,ai: platform-watson
wipro holmes,ai: platform-wipro holmes
rainbird,ai:platform-rainbird
chatbot,ai-chatbots
chatterbot,ai-chatbots
ethics of ai,ai-ethics
ethics of artificial intelligence,ai-ethics
graph theory,ai-knowledge graphs
big data,big data
parallel computing,big data
bigquery,big data: platform-bigquery
cloudera,big data: platform-cloudera
hadoop,big data: tool-hadoop
hive,big data: tool-hive
spark,big data: tool-spark
map-reduce,big data-mapreduce
mapreduce,big data-mapreduce
health informatics,bioinformatics
bioconductor,bioinformatics
bioinformatics,bioinformatics
bioinformatics algorithms,bioinformatics
biological neuron model,bioinformatics
biostatistics,bioinformatics
samtools,bioinformatics: tool-SAMtools
business analysis,business analytics
business analytics,business analytics
business intelligence,business analytics
data-?informed decision-?making,business analytics
ibm cognos analytics,business analytics: tool-ibm cognos
cloud,cloud computing
cloud computing,cloud computing
cloud databases,cloud computing
cloud storage,cloud computing
command-?line,command-line interface
computer vision,computer vision
opencv,computer vision: tool-opencv
analytics,data analytics
cross-?sectional analysis,data analytics
data analysis,data analytics
analyzing data,data analytics
knime,data analytics: platform-knime
teradata,data analytics: platform-teradata
customer analytics,data analytics-customer analytics
financial analysis,data analytics-finance
marketing analytics,data analytics-marketing
predictive analytics,data analytics-predictive analytics
predictive modelling,data analytics-predictive analytics
data reporting,data analytics-reporting
describing data,data analytics-reporting
social network analysis,data analytics-social networks
preprocessor,data cleaning
data cleansing ,data cleaning 
cleaning ,data cleaning 
wrangling,data cleaning 
pre-?process,data cleaning 
data collection,data cleaning 
pre-?processing,data cleaning 
data wrangling,data cleaning 
survey design,data collection
experiment design,data collection
experimental design,data collection
exploratory data analysis,data exploration
data mining,data mining
data extraction,data mining
data mining,data mining
data mining algorithms,data mining
data quality,data mining
social media mining,data mining
mining,data mining
scrap\w*,data mining
text mining,data mining
web scraping,data mining
sequential pattern mining,data mining
privacy,data privacy
privacy preservation,data privacy
graphics,data visualisation
graphs,data visualisation
visualization (computer graphics),data visualisation
graphing data,data visualisation
dashboard,data visualisation
dataviz,data visualization
charts,data visualization
graphs,data visualization
visualisation,data visualization
data visualization,data visualization
data visualization software,data visualization
log plot,data visualization
motion chart,data visualization
database,database
data management,database
data modeling,database
data architecture,database-architecture
atomicity,database-atomicity
database (dbms),database-dbms
transformation and loading,database-ETL
data manipulation,database-ETL
graph database,database-graph
query string,database-query
rdms,database-rdbms
relational database management system,database-rdbms
relational algebra,database-relational algebra
sas language,database-sas language
\bsas\b,database-sas language
sap hana,database-sas language
\bsql\b,database-sql
data warehouse,database-warehousing
data warehousing,database-warehousing
document warehouse,database-warehousing
\bdfs\b,distributed file systems
distributed file system,distributed file systems
deep learning,dl
keras,dl:tool-keras
torchaudio,dl:tool-pytorch
torchvision,dl:tool-pytorch
pytorch,dl:tool-pytorch
tensorflow,dl:tool-tensorflow
attention models,dl-attention models
backpropagation,dl-backpropagation
backtesting,dl-backpropagation
bert models,dl-bert
cnn,dl-cnn
convolutional neural network,dl-cnn
cyclegans,dl-cyclegans
dcgans,dl-dcgans
bias in gans,dl-gans
\bgans\b,dl-gans
\bgan\b,dl-gans
components of gans,dl-gans
gan evaluation,dl-gans
gans alternatives,dl-gans
lstm,dl-lstm
artificial neural network,dl-neural network  
neural network,dl-neural network  
probabilistic neural network,dl-probabilistic neural network
\brnn\b,dl-rnn
recurrent neural network,dl-rnn
rnns,dl-rnn
siamese networks,dl-siamese networks
parts-of-speech tagging,dl-speech recognition
stylegans,dl-stylegans
wgans,dl-wgans
econometrics,econometrics
feature engineering,feature engineering
feature extraction,feature engineering
dimensionality reduction,feature ennginneering 
risk assessment,finance-risk
risk management,finance-risk
genome,genomics
genomics,genomics
gis,gis
geographic information system,gis
information theory,information theory
iot,internet of things
internet of things,internet of things
ipython,jupyter notebook
linear algebra,linear algebra
crisis management,management skills
lean six sigma,management skills
manage\w*,management skills
team building,management skills
team management,management skills
digital marketing,marketing
digital media,marketing
marketing,marketing
